"","year","ttwa","country","total.pop","total.area","prop.inc","dist_main","dist_nearest","di","concen","live.in","crime","geo","work","pm25","suburb","crime_fixed","geo_fixed","pm25_fixed"
"1",2004,"Aberdeen","Scotland",351258,4889873658.79454,882.714667687778,9.32862793661116e-05,9.33150756168288e-05,0.000121788439758898,0.780373227917641,7.72024784509995e-05,NA,-9.56463218244608e-05,-9.90647681931023e-05,8.20839281630015e-05,5.92350438637368e-05,7.7411243324832e-05,-9.56463218244608e-05,8.20839281630015e-05
"2",2004,"Alness and Invergordon","Scotland",20746,819598172.552649,986.891379708805,NA,1.51884276817782e-05,6.77901802862355e-05,0.680438251047205,-1.60695019868484e-05,NA,-1.60129192323666e-05,-3.39496519785598e-07,1.28442850382271e-05,4.20329025807575e-06,2.6197814857909e-05,-1.60129192323666e-05,1.28442850382271e-05
"3",2004,"Andover","England",74070,584107623.805805,0.103863925534052,-0.13222215220056,-0.132008907333494,0.258009137055935,0.482232449669265,0.143323219378861,-0.152674315152016,0.134174792953495,0.123239633750739,-0.124795511855615,-0.176392025008139,-0.152674315152016,0.134174792953495,-0.124795511855615
"4",2004,"Arbroath and Montrose","Scotland",41305,251626133.318453,835.557835006547,3.11021009480328e-05,3.11021009480328e-05,0.000117407979421644,0.792993003380787,2.85297467357282e-05,NA,-7.08415789496541e-05,-7.48220645014896e-05,2.34227561115574e-05,5.11956322668539e-06,4.62671725642849e-05,-7.08415789496541e-05,2.34227561115574e-05
"5",2004,"Ashford","England",103000,580626155.727579,0.0734850495933586,0.0654641549228074,0.0656169816440269,0.21936663392175,0.551665106594804,0.152658445879016,0.0518821141925088,-0.0103217658577641,-0.0579689220968653,0.0584435352055763,-0.0321700162629668,0.0518821141925088,-0.0103217658577641,0.0584435352055763
"6",2004,"Aviemore and Grantown-on-Spey","Scotland",11672,2242369129.14768,938.838812512453,NA,-1.39286847087305e-05,7.79422109095582e-05,0.555892700800343,-1.95054698171049e-05,NA,-3.20399582491859e-05,-4.46010028021249e-05,4.56632475840379e-05,5.00981195505901e-05,5.66973152604788e-06,-3.20399582491859e-05,4.56632475840379e-05
"7",2004,"Ayr","Scotland",140986,1399461801.97228,901.601383441725,2.7308091027578e-05,2.42163616590574e-05,9.1709187352284e-05,0.821124844351749,3.53683590290643e-05,NA,-4.44619845225702e-05,-3.91881267063354e-05,1.30131135733791e-05,4.21547090212471e-06,4.09264795493414e-05,-4.44619845225702e-05,1.30131135733791e-05
"8",2004,"Banbury","England",106070,691084125.627025,0.0993160181162769,0.153614031143459,0.149051005637023,0.273781399064383,0.577200475620626,0.115839957541525,0.114439518339456,-0.0502947326051242,-0.149137534743261,0.143690689866908,0.0304929979114341,0.114439518339456,-0.0502947326051242,0.143690689866908
"9",2004,"Barnsley","England",235000,342472570.906312,0.0708834470869333,0.0199974224392179,0.0178002116001181,0.326337657129044,0.557213546391961,0.370199759880357,0.159845314561807,-0.161899054250327,-0.0658041961862352,0.0557603421578463,0.0563432363397567,0.159845314561807,-0.161899054250327,0.0557603421578463
"10",2004,"Barnstaple","England",87690,1105651081.85393,0.132605092252928,-0.0389719163241615,-0.0365025773156162,0.244981308876781,0.622237450117844,0.223405438426116,0.142019963732185,-0.10091027747292,-0.0735155976768453,0.00455380111042558,0.105761264617929,0.142019963732185,-0.10091027747292,0.00455380111042558
"11",2004,"Barrow-in-Furness","England",96960,670804975.648123,0.10122714264927,0.117779815996592,0.119810956785138,0.353985068308918,0.71101276805881,0.313251591392348,0.106569799268776,-0.111207456743376,-0.148851084153414,0.118095676703444,0.0342811654186939,0.106569799268776,-0.111207456743376,0.118095676703444
"12",2004,"Basingstoke","England",214290,694940447.1956,0.0769489013914936,-0.081157296384653,-0.0665415317319358,0.303838507707601,0.599328633704776,0.119039800382851,-0.110434508834359,0.164736023945125,0.0915475135879831,-0.0824999038440737,-0.188615312142034,-0.110434508834359,0.164736023945125,-0.0824999038440737
"13",2004,"Bath","England",161520,383071016.183191,0.122052130740588,0.365128116655058,0.364142380102571,0.369801320422736,0.697172834646854,0.369047932157102,0.245165329546566,-0.223208174985519,-0.343965621720503,0.300939073731698,0.229997058129307,0.245165329546566,-0.223208174985519,0.300939073731698
"14",2004,"Bedford","England",209740,736649122.404266,0.093210449858303,0.22064656381874,0.228406288623482,0.334083254826311,0.646889792283597,0.351850554913952,0.157564966755295,-0.168318601420957,-0.220709324927199,0.163336076633783,0.0925669399374414,0.157564966755295,-0.168318601420957,0.163336076633783
"15",2004,"Berwick","England",25970,1010142614.18302,0.147372037100653,-0.137748373369848,-0.137748373369848,0.379677500849942,0.323516370921998,0.456515172646317,-0.146560421515095,0.300909731887773,0.292108131929849,-0.370539504478868,-0.389893538840961,-0.146560421515095,0.300909731887773,-0.370539504478868
"16",2004,"Berwick","Scotland",18128,638700015.30307,850.41381042059,-4.00364085830773e-05,-3.25560908311928e-05,9.02586450318224e-05,0.598836720001391,1.27885157432672e-05,NA,-1.51405744182043e-05,-3.59492246566617e-05,2.10400002726985e-05,-6.36212592297625e-06,2.84817596849507e-05,-1.51405744182043e-05,2.10400002726985e-05
"17",2004,"Bideford","England",47830,591262926.13157,0.13600276147739,0.0245675147349349,0.0245675147349349,0.24909021429542,0.600932249958351,0.180748894344502,0.166646600273602,-0.0833090832801116,-0.0272882113617392,-0.00849236794847563,0.0860412444463723,0.166646600273602,-0.0833090832801116,-0.00849236794847563
