"","name","pweight_x","pweight_y","pop11","number_lsoa","type","number_oa","imputed_easting","imputed_northing","imputed_type","imputed_error","imputed_osm_nm"
"1393","Wednesbury BUASD",399398.180491041,295463.175083053,19191,12,"buasd",NA,398575.241545518,294926.515614712,"town",982.462158568202,"Wednesbury"
"1394","Wednesfield BUASD",395414.058986975,301054.566363372,25837,16,"buasd",NA,394590.501783826,300229.508578725,"town",1165.74732033408,"Wednesfield"
"1395","Weeley BUASD",614726.065142235,222088.751754337,1429,1,"buasd",NA,614726.065142235,222088.751754337,"Origin",NA,NA
"1396","Weldon BUASD",492511.47081668,289666.136865618,1442,1,"buasd",NA,492511.47081668,289666.136865618,"Origin",NA,NA
"1397","Welham Green BUASD",523166.5168645,205591.195168993,2236,1,"buasd",NA,523166.5168645,205591.195168993,"Origin",NA,NA
"1398","Wellingborough BUASD",488518.035305327,268097.431873636,49087,31,"buasd",NA,489353.300150628,267503.57110751,"town",1024.85997645494,"Wellingborough"
"1399","Wellington BUASD",313816.372732253,120647.363351586,11213,7,"buasd",NA,313917.614159458,120608.864194444,"town",108.314411243868,"Wellington"
"1400","Wells BUASD",354782.56231659,145810.209032307,10536,7,"buasd",NA,355027.13801306,145731.375933973,"townhall",256.966785201254,NA
"1401","Welshpool BUASD",322650.675961811,307781.097129093,6664,4,"buasd",NA,322488.901540432,307546.252188977,"town",285.172069653258,"Welshpool"
"1402","Welton BUASD",501325.48128852,380051.277602975,3918,2,"buasd",NA,501325.48128852,380051.277602975,"Origin",NA,NA
"1403","Welwyn BUASD",522995.442027752,216072.731411418,4037,3,"buasd",NA,523160.974903916,215959.779939883,"town",200.397524967512,"Welwyn"
"1404","Welwyn Garden City BUASD",524722.653003937,212683.954463787,48248,30,"buasd",NA,523733.151951974,213127.520867019,"town",1084.37239263634,"Welwyn Garden City"
"1405","Wendover BUASD",487050.908716298,208404.581034003,8334,5,"buasd",NA,486746.190424853,208413.435420832,"town",304.846907983772,"Wendover"
"1406","West Bridgford BUASD",458606.573094361,336720.663916208,45858,29,"buasd",NA,458899.879090778,337133.139200915,"town",506.12673119321,"West Bridgford"
"1407","West Bromwich (East) BUASD",404060.740514032,293983.116853484,19541,13,"buasd",NA,404060.740514032,293983.116853484,"Origin",NA,NA
"1408","West Bromwich BUASD",400502.619844792,292931.50468024,72631,43,"buasd",NA,400618.762948992,291197.35897657,"town",1738.03065053841,"West Bromwich"
"1409","West Hallam BUASD",442846.033831457,341678.653812796,3505,2,"buasd",NA,442846.033831457,341678.653812796,"Origin",NA,NA
"1410","West Kingsdown BUASD",557260.59765476,163672.024014935,4517,3,"buasd",NA,557260.59765476,163672.024014935,"Origin",NA,NA
"1411","West Kirby BUASD",322189.042809282,386656.878901255,14959,10,"buasd",NA,321154.704931991,386930.052284657,"town",1069.80303878707,"West Kirby"
"1412","West Walton BUASD",547769.053043074,313257.986922781,1324,1,"buasd",NA,547769.053043074,313257.986922781,"Origin",NA,NA
"1413","West Wellow BUASD",429197.066568738,119313.490726666,1613,1,"buasd",NA,429197.066568738,119313.490726666,"Origin",NA,NA
"1414","Westergate BUASD",495228.47689652,105031.110508898,8314,5,"buasd",NA,495228.47689652,105031.110508898,"Origin",NA,NA
"1415","Westhoughton BUASD",365549.705758706,405653.0521566,24131,15,"buasd",NA,365471.677906012,406084.033320054,"town",437.987567229922,"Westhoughton"
"1416","Westhumble BUASD",516864.414477696,151690.693444195,1995,1,"buasd",NA,516864.414477696,151690.693444195,"Origin",NA,NA
"1417","Weston-Super-Mare BUASD",334249.545666232,161613.893386357,82957,57,"buasd",NA,331990.410577632,161355.453713325,"town",2273.86948023406,"Weston-super-Mare"
"1418","Weston BUASD",368742.281168899,71560.1047943655,5111,3,"buasd",NA,368742.281168899,71560.1047943655,"Origin",NA,NA
"1419","Weston Rhyn BUASD",328558.807861018,335871.11467767,1385,1,"buasd",NA,328558.807861018,335871.11467767,"Origin",NA,NA
"1420","Westonzoyland BUASD",335021.803588961,134872.594429419,1425,1,"buasd",NA,335021.803588961,134872.594429419,"Origin",NA,NA
