"","zone","year","country","la","ttwa","pop","inc.n","noninc.n","social.HH","nonsocial.HH","dist_main","dist_nearest","crime","live.in","geo","pm25","work","area"
"1679","S01008184",2020,"Scotland","East Lothian","Edinburgh",807,125,682,120,361,8210.96645132312,8210.96645132312,540,1349.5,5346,720.5,3800.82958910847,120904.955129115
"1680","S01008185",2020,"Scotland","East Lothian","Edinburgh",938,175,763,148,425,8172.10671495023,8172.10671495023,1248,1679,3764,1725,3481.70685084707,107770.581460954
"1681","S01008186",2020,"Scotland","East Lothian","Edinburgh",936,130,806,41,325,8770.13905259219,8770.13905259219,1093,1522.5,4598,1725,3318.60756612925,123523.852524811
"1682","S01008187",2020,"Scotland","East Lothian","Edinburgh",652,152,500,108,176,8804.43329773218,8804.43329773218,1638,2276,2258,3483,2869.69441518443,293775.455943857
"1683","S01008188",2020,"Scotland","East Lothian","Edinburgh",896,185,711,188,297,8807.08342710451,8807.08342710451,1515,1477,5392,1725,3722.38948269131,138858.867336376
"1684","S01008189",2020,"Scotland","East Lothian","Edinburgh",575,53,522,48,223,9340.20549798649,9340.20549798649,2216,4441,2926,1725,2936.27517690854,77433.8894044893
"1685","S01008190",2020,"Scotland","East Lothian","Edinburgh",850,219,631,164,201,9731.75726732854,9731.75726732854,2720,2304,1219,1682.5,2484.47433540003,247858.460266823
"1686","S01008191",2020,"Scotland","East Lothian","Edinburgh",621,89,532,68,119,9526.63584005588,9526.63584005588,2975,1241,1449,1682.5,2685.61391856273,145732.341822163
"1687","S01008192",2020,"Scotland","East Lothian","Edinburgh",828,162,666,82,278,9705.47545786958,9705.47545786958,172,1944,3684,1682.5,2377.63326198246,411283.431213228
"1688","S01008193",2020,"Scotland","East Lothian","Edinburgh",852,68,784,54,273,9840.29639530306,9840.29639530306,5696,5181,2569,1682.5,2082.52813746287,131253.359971914
"1689","S01008194",2020,"Scotland","East Lothian","Edinburgh",643,89,554,66,178,10285.3492179964,10285.3492179964,2218,3679,2728,1011.5,1805.48411062045,174717.474706891
"1690","S01008195",2020,"Scotland","East Lothian","Edinburgh",764,150,614,153,178,10634.9100671125,10634.9100671125,1944,1005,2111,1011.5,1633.21755293089,191069.894513443
"1691","S01008196",2020,"Scotland","East Lothian","Edinburgh",966,199,767,150,183,10317.8202040394,10317.8202040394,1827,1173,2635,1011.5,1859.39143636361,142707.664366338
"1692","S01008197",2020,"Scotland","East Lothian","Edinburgh",1515,66,1449,60,330,12532.8686021316,12532.8686021316,4098,3999,5164,593.5,1297.17791564888,172868.677602544
"1693","S01008198",2020,"Scotland","East Lothian","Edinburgh",718,97,621,101,199,12705.5345996651,12705.5345996651,1075,3760,6290,2990.5,1455.32183448509,146796.864469072
"1694","S01008199",2020,"Scotland","East Lothian","Edinburgh",756,150,606,184,114,12372.3707734883,12372.3707734883,1629,679,5182,593.5,1268.73632411207,107230.642193107
"1695","S01008200",2020,"Scotland","East Lothian","Edinburgh",618,134,484,166,134,12241.2190651599,12241.2190651599,1616,1871,5210,2990.5,1192.47409308463,103157.278853422
"1696","S01008201",2020,"Scotland","East Lothian","Edinburgh",809,165,644,179,175,12724.1265605945,12724.1265605945,2715,1346,6813,2990.5,1479.99028361744,142742.330935419
"1697","S01008202",2020,"Scotland","East Lothian","Edinburgh",576,71,505,86,175,13250.6539819351,13250.6539819351,3213,5539,5674,1334,1590.9889462382,132201.077185185
"1698","S01008203",2020,"Scotland","East Lothian","Edinburgh",605,166,439,118,165,13170.1706877331,13170.1706877331,225,894,6002,2990.5,1410.76470463665,108854.71691423
"1699","S01008204",2020,"Scotland","East Lothian","Edinburgh",886,123,763,188,292,13206.6225674536,13206.6225674536,938,4619,6768,1334,1649.47638376634,364706.176275397
"1700","S01008205",2020,"Scotland","East Lothian","Edinburgh",661,95,566,99,177,13883.6550257145,13883.6550257145,3388,1664,6435,1334,1573.27402589933,109529.556558134
"1701","S01008206",2020,"Scotland","East Lothian","Edinburgh",664,118,546,125,170,13707.8204393223,13707.8204393223,3634,2754,6497,1334,1622.942564024,184713.675659277
"1702","S01008207",2020,"Scotland","East Lothian","Edinburgh",615,112,503,148,98,13988.6480965949,13988.6480965949,2955,1580,4784,1334,1508.4113442311,77464.6797531135
"1703","S01008208",2020,"Scotland","East Lothian","Edinburgh",887,70,817,56,288,13787.5882663517,13787.5882663517,3296,4905,4433,1334,1463.49191143173,176146.036804951
"1704","S01008209",2020,"Scotland","East Lothian","Edinburgh",570,30,540,5,195,13519.9163596445,13519.9163596445,6449,6003,3889,1334,1461.21550126413,107913.172819556
"1705","S01008210",2020,"Scotland","East Lothian","Edinburgh",949,131,818,118,299,14331.2905983286,14331.2905983286,4357,3626,5882,2453,1055.41559724698,225692.515480388
"1706","S01008211",2020,"Scotland","East Lothian","Edinburgh",832,113,719,100,320,14564.0134441222,14564.0134441222,2400,2228,6139,2453,996.760442031645,157187.728948901
"1707","S01008212",2020,"Scotland","East Lothian","Edinburgh",564,22,542,10,202,14659.5596323704,14659.5596323704,6441,6418.5,2398,2453,1101.49108828858,84100.8110403651
"1708","S01008213",2020,"Scotland","East Lothian","Edinburgh",980,35,945,33,337,15001.3474026706,15001.3474026706,5676,5838,2670,2453,999.816554533729,177139.541658082
"1709","S01008214",2020,"Scotland","East Lothian","Edinburgh",714,95,619,100,254,15051.8929178553,15051.8929178553,2111,3532,4946,2453,923.120585231109,159193.109567634
"1710","S01008215",2020,"Scotland","East Lothian","Edinburgh",687,58,629,48,276,15309.9466049636,15309.9466049636,4213,2905,3434,2117.5,868.879072529985,91192.2409856101
"1711","S01008216",2020,"Scotland","East Lothian","Edinburgh",491,14,477,4,201,15509.4132010997,15509.4132010997,6700,5209,2786,2117.5,791.591725735785,107525.442943092
"1712","S01008217",2020,"Scotland","East Lothian","Edinburgh",546,11,535,4,222,16748.436259781,16748.436259781,1786,6042,1428,4006,507.341689371192,3174866.66364723
"1713","S01008218",2020,"Scotland","East Lothian","Edinburgh",1594,67,1527,11,365,14770.9346668943,14770.9346668943,1668,5996,1418,1585,1604.36637134114,12163483.5144315
"1714","S01008219",2020,"Scotland","East Lothian","Edinburgh",1046,142,904,98,326,14701.6481110386,14701.6481110386,1555,3710,5258,1135,1830.96891401171,290076.167300133
"1715","S01008220",2020,"Scotland","East Lothian","Edinburgh",628,166,462,117,106,15175.0327974967,15175.0327974967,2612,1792,3485,1175,1579.71764129664,94369.8464999758
"1716","S01008221",2020,"Scotland","East Lothian","Edinburgh",716,223,493,176,133,15202.5020714287,15202.5020714287,536,859,5417,1794,1662.5064519072,173390.973670519
"1717","S01008222",2020,"Scotland","East Lothian","Edinburgh",697,120,577,139,148,15300.2372900069,15300.2372900069,1806,1581,6015,1648.5,1608.47615341476,328009.271236434
"1718","S01008223",2020,"Scotland","East Lothian","Edinburgh",609,117,492,131,149,15477.1600892408,15477.1600892408,3637,3688,3543,1648.5,1403.22907993564,123344.211291054
"1719","S01008224",2020,"Scotland","East Lothian","Edinburgh",830,28,802,15,391,15338.1584147829,15338.1584147829,4693,3903,5259,1955,1421.12044898755,148320.739543924
"1720","S01008225",2020,"Scotland","East Lothian","Edinburgh",676,58,618,77,213,14937.8956399083,14937.8956399083,2487,4294,6032,1794,1787.45937720932,108939.793826122
"1721","S01008226",2020,"Scotland","East Lothian","Edinburgh",726,186,540,204,175,14808.6714838271,14808.6714838271,836,2961,6615,1794,1828.70704857867,215377.444406532
"1722","S01008227",2020,"Scotland","East Lothian","Edinburgh",824,134,690,192,197,14341.8533180428,14341.8533180428,1311,1052,4278,1794,1775.57888510851,146935.638951437
"1723","S01008228",2020,"Scotland","East Lothian","Edinburgh",654,27,627,46,233,14111.82120526,14111.82120526,1875,5545,3649,1270,1671.39703109486,320080.04474056
"1724","S01008229",2020,"Scotland","East Lothian","Edinburgh",676,114,562,137,163,14468.6884992006,14468.6884992006,1961,1815,4769,1794,1742.10317826564,103219.994698951
"1725","S01008230",2020,"Scotland","East Lothian","Edinburgh",781,43,738,22,283,14309.3747680487,14309.3747680487,6121,5307,3143,956,1484.31774336624,120085.254611339
"1726","S01008231",2020,"Scotland","East Lothian","Edinburgh",801,28,773,6,237,14631.5313846305,14631.5313846305,5337,6887,2123,956,1587.30861980101,157961.198336612
"1727","S01008232",2020,"Scotland","East Lothian","Edinburgh",874,91,783,56,203,14902.9877943589,14902.9877943589,3600,5382,2783,956,1658.12783146985,142673.563010428
"1728","S01008233",2020,"Scotland","East Lothian","Edinburgh",682,33,649,41,137,14598.0580528222,14598.0580528222,3482,3051,1514,1553,1444.20785046246,5766463.67800559
"1729","S01008234",2020,"Scotland","East Lothian","Edinburgh",440,52,388,75,112,14469.0838125543,14469.0838125543,4370,3981,1981,1669,864.302292841694,154864.562324683
"1730","S01008235",2020,"Scotland","East Lothian","Edinburgh",841,111,730,134,234,15915.7132636534,15915.7132636534,4494,2330,2501,2912,504.848922693684,6695316.13989641
"1731","S01008236",2020,"Scotland","East Lothian","Edinburgh",791,83,708,101,285,16072.8462941797,16072.8462941797,3886,4304,4479,3298,491.630002496115,247110.215362932
"1732","S01008237",2020,"Scotland","East Lothian","Edinburgh",835,126,709,127,249,15844.9330972516,15844.9330972516,3843,2052,845,4039,416.161200555311,19878190.1684496
"1733","S01008238",2020,"Scotland","East Lothian","Edinburgh",785,119,666,139,202,17611.7770003101,17611.7770003101,4555,4270,2592,2348,1063.7254602456,270841.082250003
"1734","S01008239",2020,"Scotland","East Lothian","Edinburgh",1076,151,925,81,250,17715.1240412772,17715.1240412772,4157,5647,1706,1259,1365.90655622646,10709232.9198965
"1735","S01008240",2020,"Scotland","East Lothian","Edinburgh",840,14,826,7,351,17812.5257493978,17812.5257493978,5944,6012,1414,2507,395.576516769472,7280269.9908325
"1736","S01008241",2020,"Scotland","East Lothian","Edinburgh",650,14,636,4,267,17906.9538876828,17906.9538876828,5563,6691.5,2182,4725,387.174424608811,307212.722638872
"1737","S01008242",2020,"Scotland","East Lothian","Edinburgh",897,64,833,110,320,18636.2338399068,18636.2338399068,4024,5627,3155,2532,316.384436161314,5909861.2086625
"1738","S01008243",2020,"Scotland","East Lothian","Edinburgh",906,34,872,63,298,21383.1289393168,21383.1289393168,6272,4455,700,4175,196.97918984293,17230785.2699857
"1739","S01008244",2020,"Scotland","East Lothian","Edinburgh",628,29,599,37,218,21340.9118753402,21340.9118753402,5170,6093,1257,4729,198.753597261181,1615685.25207321
"1740","S01008245",2020,"Scotland","East Lothian","Edinburgh",962,52,910,64,346,18949.70957976,18949.70957976,4608,5445,1261,3658,271.757588075198,4587600.07229177
"1741","S01008246",2020,"Scotland","East Lothian","Edinburgh",983,48,935,33,320,19753.0984020764,19753.0984020764,6128,6164,762,3930,261.856758664788,15135282.0923298
"1742","S01008247",2020,"Scotland","East Lothian","Edinburgh",800,44,756,48,271,22637.368852687,22637.368852687,6638,3833,296,5283,94.8693909564448,41502034.2777012
"1743","S01008248",2020,"Scotland","East Lothian","Edinburgh",920,71,849,109,288,28568.273606544,28568.273606544,4711,3206,368,5842,123.191519789946,79759991.110441
"1744","S01008249",2020,"Scotland","East Lothian","Edinburgh",907,61,846,40,361,27821.3457756876,27821.3457756876,3876,5286,253,5888,113.736051781813,82815217.0670894
"1745","S01008250",2020,"Scotland","East Lothian","Edinburgh",1190,58,1132,16,431,25496.3584657165,25496.3584657165,6135,5482,524,3493,2034.43731578432,51641672.914202
"1746","S01008251",2020,"Scotland","East Lothian","Edinburgh",855,9,846,6,249,23913.3649680553,23913.3649680553,6210,6073,1393,2896,1310.34179766699,311683.222259326
"1747","S01008252",2020,"Scotland","East Lothian","Edinburgh",832,20,812,17,321,24490.578211463,24490.578211463,5662,6608,3421,4260.5,1748.71243873814,404495.191026137
"1748","S01008253",2020,"Scotland","East Lothian","Edinburgh",801,68,733,133,237,24705.6793658406,24705.6793658406,3925,2720,3861,3250,2054.20934437724,270538.447428402
"1749","S01008254",2020,"Scotland","East Lothian","Edinburgh",999,131,868,130,298,25294.4671546373,25294.4671546373,3965,3826,5596,3364,2572.6280280829,241155.029505625
"1750","S01008255",2020,"Scotland","East Lothian","Edinburgh",748,80,668,58,234,26000.2540881021,26000.2540881021,5771,3452,4280,3364,1837.97779175858,157034.800473336
"1751","S01008256",2020,"Scotland","East Lothian","Edinburgh",815,167,648,147,214,25932.0938868041,25932.0938868041,2458,1616,3820,3364,2007.99188677491,169204.524884531
"1752","S01008257",2020,"Scotland","East Lothian","Edinburgh",708,83,625,110,247,25266.3053161238,25266.3053161238,1398,4154,6284,4407.5,2625.17213623125,186380.98912152
"1753","S01008258",2020,"Scotland","East Lothian","Edinburgh",778,49,729,10,391,24854.5111640572,24854.5111640572,5013,4612,2745,4260.5,1929.50459487608,166873.196948896
"1754","S01008259",2020,"Scotland","East Lothian","Edinburgh",835,78,757,70,306,25823.0060109288,25823.0060109288,636,4464,4727,4407.5,2372.53893172903,440933.216547985
"1755","S01008260",2020,"Scotland","East Lothian","Edinburgh",783,118,665,144,211,26230.3344443583,26230.3344443583,2124,2095,3645,3896.5,1814.12452630117,306068.540037536
"1756","S01008261",2020,"Scotland","East Lothian","Edinburgh",876,150,726,152,216,26547.9414392814,26547.9414392814,5251,3056,1782,3896.5,1347.10904548283,138144.422167016
"1757","S01008262",2020,"Scotland","East Lothian","Edinburgh",656,32,624,43,209,27994.0600183365,27994.0600183365,4667,3490,331,3922,170.144244913792,20090551.2514327
"1758","S01008263",2020,"Scotland","East Lothian","Edinburgh",660,26,634,36,248,24240.381489165,24240.381489165,5591,6052,1371,3687,492.902465990083,7053748.22811823
"1759","S01008264",2020,"Scotland","East Lothian","Edinburgh",710,57,653,125,205,24550.7289519091,24550.7289519091,6312,4353,1513,4207.5,458.762319364748,136140.111614545
"1760","S01008265",2020,"Scotland","East Lothian","Edinburgh",739,25,714,7,325,24471.3728162407,24471.3728162407,5462,6230,2087,4469,487.382496437774,268859.882281626
"1761","S01008266",2020,"Scotland","East Lothian","Edinburgh",662,18,644,19,300,24128.0871544323,24128.0871544323,6247,5904,1740,4207.5,466.304449935729,471233.525083505
"1762","S01008267",2020,"Scotland","East Lothian","Edinburgh",966,42,924,69,281,27479.7068266451,27479.7068266451,5422,5131,504,4784,273.346352626219,16695091.4810007
"1763","S01008268",2020,"Scotland","East Lothian","Edinburgh",881,24,857,5,350,30456.5851275155,30456.5851275155,6011,5352,1893,5412.5,772.793551848776,594409.336416735
"1764","S01008269",2020,"Scotland","East Lothian","Edinburgh",891,24,867,48,352,30314.996097936,30314.996097936,6862,6034,1929,3567,762.967806114004,287296.83487372
"1765","S01008270",2020,"Scotland","East Lothian","Edinburgh",849,19,830,19,375,30803.0589353535,30803.0589353535,5687,6496,3997,5412.5,993.456781832341,242142.309418599
"1766","S01008271",2020,"Scotland","East Lothian","Edinburgh",654,63,591,68,318,31562.5157806613,31562.5157806613,3832,1401,6822,5596,1107.39310479568,285041.457697154
"1767","S01008272",2020,"Scotland","East Lothian","Edinburgh",1620,87,1533,51,363,30663.3242816913,30663.3242816913,5901,5425,820,3973,860.389766361432,18798417.7125862
"1768","S01008273",2020,"Scotland","East Lothian","Edinburgh",832,34,798,27,319,31285.5525072132,31285.5525072132,3099,5248,6114,4610.5,1141.23263066735,466795.961899943
"1769","S01008274",2020,"Scotland","East Lothian","Edinburgh",688,72,616,107,215,31709.6380944558,31709.6380944558,5649,4529,5585,4610.5,933.769147102083,134026.407772968
"1770","S01008275",2020,"Scotland","East Lothian","Edinburgh",514,32,482,51,207,32085.7786940347,32085.7786940347,2888,5264,3965,5564,842.234756048567,925210.721888787
"1771","S01008276",2020,"Scotland","East Lothian","Edinburgh",534,22,512,17,182,32596.388778339,32596.388778339,6722,5262,2094,4235,620.318552192459,285415.46144736
"1772","S01008277",2020,"Scotland","East Lothian","Edinburgh",492,24,468,7,206,34437.5578033508,34437.5578033508,3917,3259,332,4672,55.1232003714323,32206216.648676
"1773","S01008278",2020,"Scotland","East Lothian","Edinburgh",888,28,860,6,328,32731.4034693974,32731.4034693974,6859,5177,851,4010,191.446675462607,21121407.0327347
"1774","S01008279",2020,"Scotland","East Lothian","Edinburgh",715,35,680,88,243,32982.1485634655,32982.1485634655,5116,4423.5,3828,3688,236.010237979818,210503.562427048
"1775","S01008280",2020,"Scotland","East Lothian","Edinburgh",1000,60,940,85,340,33365.0759303369,33365.0759303369,5075,2818,1074,4730,288.527626961346,22469736.1636926
"1776","S01008281",2020,"Scotland","East Lothian","Edinburgh",747,47,700,35,281,36814.8689761386,36814.8689761386,6821,5037,308,5898,77.9969972133441,72952602.4412704
"1777","S01008282",2020,"Scotland","East Lothian","Edinburgh",762,35,727,35,264,46170.369773723,46170.369773723,4738,2317,281,5195,278.511020929519,42659063.5348721
"1778","S01008283",2020,"Scotland","East Lothian","Edinburgh",527,19,508,11,173,42091.880230309,42091.880230309,6006,4788,764,4800,779.31027106233,16864700.0936046
"1779","S01008284",2020,"Scotland","East Lothian","Edinburgh",1841,148,1693,75,273,41314.0153676123,41314.0153676123,6285,6340,927,3577,903.694503285204,4691631.16193068
"1780","S01008285",2020,"Scotland","East Lothian","Edinburgh",792,104,688,164,191,41545.372930771,41545.372930771,3130,3926,5469,3332.5,1118.37679179848,267349.711524015
"1781","S01008286",2020,"Scotland","East Lothian","Edinburgh",723,78,645,115,188,41225.3422402701,41225.3422402701,3867,3185,4496,4077.5,1009.84580344512,278139.177238005
"1782","S01008287",2020,"Scotland","East Lothian","Edinburgh",883,81,802,98,213,41492.3657630905,41492.3657630905,4382,2628,4618,4077.5,1048.41828837285,548939.495334016
"1783","S01008288",2020,"Scotland","East Lothian","Edinburgh",866,98,768,90,323,41867.6615542916,41867.6615542916,5234,3670.5,6200,5484.5,1134.77182327833,327343.283128106
"1784","S01008289",2020,"Scotland","East Lothian","Edinburgh",611,93,518,88,231,42444.9209737244,42444.9209737244,2086,2102,6511,5484.5,1122.03730597933,112818.526033944
"1785","S01008290",2020,"Scotland","East Lothian","Edinburgh",909,108,801,79,318,42491.8616387774,42491.8616387774,5091,3301,6912,4476.5,1208.5377698535,207433.124804823
"1786","S01008291",2020,"Scotland","East Lothian","Edinburgh",732,27,705,14,355,42748.0565197886,42748.0565197886,6052,5994,5032,4476.5,1055.4127865084,271067.729879923
"1787","S01008292",2020,"Scotland","East Lothian","Edinburgh",855,118,737,131,179,42458.2735750961,42458.2735750961,4096,3502,2954,2090,956.769759171634,537208.275499699
"1788","S01008293",2020,"Scotland","East Lothian","Edinburgh",620,10,610,3,196,42234.1354388123,42234.1354388123,5836,6822,1390,3332.5,1231.45792423533,150567.624415821
"1789","S01008294",2020,"Scotland","East Lothian","Edinburgh",935,43,892,40,286,42110.3494094289,42110.3494094289,6071,5251,2829,2911,936.14048210724,268950.228524006
"1790","S01008295",2020,"Scotland","East Renfrewshire","Glasgow",871,26,845,20,360,14899.7506584934,7708.63073217715,6013,4247,4804,5529,630.82042037755,174474.83140863
"1791","S01008296",2020,"Scotland","East Renfrewshire","Glasgow",631,87,544,117,203,13476.8872785352,6822.49298266772,855,2810,6788,5215.5,1125.35302114481,213017.314114427
"1792","S01008297",2020,"Scotland","East Renfrewshire","Glasgow",847,55,792,39,256,13649.8232952764,7083.31720024537,3908,5176,6128,5215.5,1047.84416848002,179309.428330358
"1793","S01008298",2020,"Scotland","East Renfrewshire","Glasgow",742,54,688,6,297,14414.5261722048,7290.65730007175,4435,3416,2136,5890,837.251611342081,15191739.01155
"1794","S01008299",2020,"Scotland","East Renfrewshire","Glasgow",807,190,617,182,188,14159.1988097571,7114.26759239782,1502,922,6947,5451,942.847040221288,181357.084878062
"1795","S01008300",2020,"Scotland","East Renfrewshire","Glasgow",794,125,669,127,250,14308.983209362,7631.65425065522,1021,2350,6502,5827,791.837499119759,302426.87446097
"1796","S01008301",2020,"Scotland","East Renfrewshire","Glasgow",771,18,753,3,313,14797.6322491176,7818.07337693453,3457,5479,2936,6011,652.672445785144,13993828.3643856
"1797","S01008302",2020,"Scotland","East Renfrewshire","Glasgow",821,14,807,14,286,18692.0780762254,10168.4132658425,5660,6660,603,6108,126.021463576943,14291873.2046131
"1798","S01008303",2020,"Scotland","East Renfrewshire","Glasgow",476,51,425,50,222,11248.7982822531,5124.69970083025,2460,3639,4442,4759.5,2979.8483389913,128487.845720405
"1799","S01008304",2020,"Scotland","East Renfrewshire","Glasgow",463,36,427,37,175,11858.3882361356,5437.10482738805,1298,4963,1188,4759.5,2340.79882362196,287277.291366466
"1800","S01008305",2020,"Scotland","East Renfrewshire","Glasgow",762,19,743,3,312,11216.8234590999,4353.49055544678,6830,6850,1708,5054.5,2555.79394500337,129023.712174271
"1801","S01008306",2020,"Scotland","East Renfrewshire","Glasgow",581,30,551,5,234,11150.2849013857,4615.67272240301,6928,6006,2294,4759.5,2712.73217661549,93473.1171451267
"1802","S01008307",2020,"Scotland","East Renfrewshire","Glasgow",638,32,606,13,203,10915.6470111047,4837.58902576587,6533,5699,1775,3783.5,3039.30311459227,366382.692322381
"1803","S01008308",2020,"Scotland","East Renfrewshire","Glasgow",564,6,558,3,235,10840.9641918188,4522.02112585229,6928,6389,2300,5054.5,2835.49771362745,132801.654568764
"1804","S01008309",2020,"Scotland","East Renfrewshire","Glasgow",759,170,589,161,211,11286.5546057557,5884.37708184308,1581,931,6638,3720.5,3013.87379323104,209029.053803334
"1805","S01008310",2020,"Scotland","East Renfrewshire","Glasgow",913,113,800,124,343,10838.2257582449,5830.03419177171,933,3286,5523,3720.5,3244.20040513032,256416.509094554
"1806","S01008311",2020,"Scotland","East Renfrewshire","Glasgow",366,59,307,54,118,10690.708246827,6155.58216855537,1428,4273.5,6433,3720.5,2875.38190364907,58265.551448105
"1807","S01008312",2020,"Scotland","East Renfrewshire","Glasgow",484,29,455,41,130,10694.2399481988,5915.75878559532,2493,4513,4779,3783.5,3157.60876678528,116470.56241097
"1808","S01008313",2020,"Scotland","East Renfrewshire","Glasgow",840,218,622,166,237,10471.4794392804,5299.55117903604,1316,1378,5124,3783.5,3388.65726825993,316846.153680522
"1809","S01008314",2020,"Scotland","East Renfrewshire","Glasgow",628,161,467,192,119,11276.5659103799,5507.31444537533,2185,918,5631,4759.5,3117.88003202241,144712.406235412
"1810","S01008315",2020,"Scotland","East Renfrewshire","Glasgow",685,198,487,246,204,11603.789575026,5658.29139117462,269,2136,5601,4362,2778.18982684207,160888.618656155
"1811","S01008316",2020,"Scotland","East Renfrewshire","Glasgow",634,244,390,187,78,10231.3874402052,5129.60967759011,964,2951.5,3979,3783.5,3242.56655512687,105192.297750783
"1812","S01008317",2020,"Scotland","East Renfrewshire","Glasgow",871,163,708,109,207,10078.6005075317,5147.83067486783,1599,3695,3389,5034,3205.53345362451,2064146.36490596
"1813","S01008318",2020,"Scotland","East Renfrewshire","Glasgow",1145,58,1087,17,351,11922.4054730823,6286.58518612082,5002,5489,1750,5563,2187.03993468727,2186640.38955945
"1814","S01008319",2020,"Scotland","East Renfrewshire","Glasgow",695,91,604,96,277,11667.8836084913,6103.6777386887,6308,2676,5184,4362,2542.94744698936,141844.194505925
"1815","S01008320",2020,"Scotland","East Renfrewshire","Glasgow",590,54,536,58,250,11482.108956199,6176.4739316121,2877,5720,5356,3720.5,2626.59004840423,150985.738533916
"1816","S01008321",2020,"Scotland","East Renfrewshire","Glasgow",520,13,507,4,191,11537.4851396685,6489.82044503654,6719,6079,4257,3720.5,2306.69371915655,121679.403127868
"1817","S01008322",2020,"Scotland","East Renfrewshire","Glasgow",1048,175,873,143,358,12022.9895271607,5887.29616156241,1778,2346,3567,4362,2216.56441836836,217429.68896323
"1818","S01008323",2020,"Scotland","East Renfrewshire","Glasgow",790,176,614,141,183,10687.1613638084,6372.68561688659,1308,1000,5499,4798.5,2636.50274245831,108042.960333615
"1819","S01008324",2020,"Scotland","East Renfrewshire","Glasgow",619,100,519,65,189,10865.3662899569,6846.16541819909,2606,2063,4112,4798.5,2140.27284293821,224592.033294647
"1820","S01008325",2020,"Scotland","East Renfrewshire","Glasgow",849,143,706,106,185,11396.9626685395,6666.63778850255,3026,1473,5772,3720.5,2195.16328432512,118581.480950601
"1821","S01008326",2020,"Scotland","East Renfrewshire","Glasgow",1016,239,777,192,263,11145.5300286356,6876.13799703167,2890,1358,4279,3720.5,2051.20606763666,137790.965072954
"1822","S01008327",2020,"Scotland","East Renfrewshire","Glasgow",891,117,774,101,285,11160.1788895351,6468.03179103417,2898,1503,6589,3720.5,2489.2025773221,185994.160219704
"1823","S01008328",2020,"Scotland","East Renfrewshire","Glasgow",2656,150,2506,2,240,11305.7610805866,9033.67298589923,2830,5776,1355,4718,1682.88968719866,8093420.2302061
"1824","S01008329",2020,"Scotland","East Renfrewshire","Glasgow",858,16,842,3,288,10419.552941182,9085.78819804915,5995,6128,3701,3467,2375.74009477554,196579.137292745
"1825","S01008330",2020,"Scotland","East Renfrewshire","Glasgow",853,32,821,3,287,10305.5980312128,9131.14795970719,4554,6069,3725,3467,2432.11009328579,174680.57260429
"1826","S01008331",2020,"Scotland","East Renfrewshire","Glasgow",621,31,590,3,243,10695.8058795368,8991.39644843715,6772,4599,3048,2654,2175.88023862206,125194.46730321
"1827","S01008332",2020,"Scotland","East Renfrewshire","Glasgow",954,58,896,6,372,10430.4725122896,9474.40643224649,3548,4874,3423,3467,2506.63173454586,449509.460535342
"1828","S01008333",2020,"Scotland","East Renfrewshire","Glasgow",1005,63,942,34,420,10048.1685879417,9094.43110766491,3700,6653,3916,3360.5,2476.80655411936,424193.031915886
"1829","S01008334",2020,"Scotland","East Renfrewshire","Glasgow",1042,35,1007,3,318,9737.11296810503,9186.59964093099,4986,6224.5,1914,4482,2527.71156088176,357156.861730972
"1830","S01008335",2020,"Scotland","East Renfrewshire","Glasgow",743,109,634,80,250,11576.924993422,9862.39772401706,5214,3244,5558,3631.5,1830.06654206086,174472.570608894
"1831","S01008336",2020,"Scotland","East Renfrewshire","Glasgow",644,89,555,75,193,11395.8061183976,9921.53718795004,2542,2333,3709,3631.5,2035.85981212464,266502.098139346
"1832","S01008337",2020,"Scotland","East Renfrewshire","Glasgow",1003,74,929,61,304,11506.5507624427,9713.97081942484,6370,5756,1453,3517.5,1834.11118521073,183670.708474964
"1833","S01008338",2020,"Scotland","East Renfrewshire","Glasgow",936,8,928,2,260,11691.8117195878,9422.75388917595,5870,5212,1006,3517.5,1490.47990657095,155555.855806993
"1834","S01008339",2020,"Scotland","East Renfrewshire","Glasgow",544,19,525,2,225,11067.6295486344,8955.221625992,6928,5877,2970,2654,1854.14154404425,94029.7820788869
"1835","S01008340",2020,"Scotland","East Renfrewshire","Glasgow",800,45,755,2,311,10929.6871055492,9184.13931322169,5622,4663,2593,3467,2144.33635481043,192050.271647924
"1836","S01008341",2020,"Scotland","East Renfrewshire","Glasgow",645,16,629,1,203,11179.7937924728,9358.80300011881,5912,6860,2530,2654,2028.74218628885,134482.718942068
"1837","S01008342",2020,"Scotland","East Renfrewshire","Glasgow",855,90,765,81,246,10948.5207646714,9679.47555518397,2919,3068,2694,3467,2496.1516710335,180163.35646153
"1838","S01008343",2020,"Scotland","East Renfrewshire","Glasgow",902,7,895,0,328,11003.3708280053,9196.8418249634,5806,6795,5535,3747,2210.82714095125,270205.843613422
"1839","S01008344",2020,"Scotland","East Renfrewshire","Glasgow",886,15,871,5,350,9030.42666944342,8137.64790673595,4649,6913,3536,3817.5,2736.64830524817,414116.986751715
"1840","S01008345",2020,"Scotland","East Renfrewshire","Glasgow",1045,28,1017,1,349,9887.89437082229,8120.06916693672,5593,6143,5072,3729,2342.82192779561,474798.506596017
"1841","S01008346",2020,"Scotland","East Renfrewshire","Glasgow",1010,11,999,1,358,10283.9212385781,8369.00914746927,4755,6359,5647,3360.5,2263.63594705845,331861.317669919
