"","zone","year","country","la","ttwa","pop","inc.n","noninc.n","dist_main","dist_nearest","crime","live.in","geo","pm25","work","area"
"34","S01000034",2009,"Scotland","Aberdeen City","Aberdeen",1039,10,1029,5630.99974760465,5630.99974760465,5808,6343,2116,3858,2355.934794844,1934994.03594099
"35","S01000035",2009,"Scotland","Aberdeen City","Aberdeen",993,140,853,3949.86063343409,3949.86063343409,1563,2972,3858,3245.5,5050.39309956102,399222.507220444
"36","S01000036",2009,"Scotland","Aberdeen City","Aberdeen",678,130,548,4433.76374077789,4433.76374077789,2017,2670,2348,3245.5,3814.06598673088,153282.81750432
"37","S01000037",2009,"Scotland","Aberdeen City","Aberdeen",697,105,592,3132.24236459879,3132.24236459879,597,2047,3362,521,12641.7183721641,5408845.97424999
"38","S01000038",2009,"Scotland","Aberdeen City","Aberdeen",800,100,700,2986.5334079954,2986.5334079954,2051,2361,4860,2167,9647.53527874549,172044.261542153
"39","S01000039",2009,"Scotland","Aberdeen City","Aberdeen",927,130,797,4305.52682585139,4305.52682585139,2098,1708,1761,3245.5,4176.29135304736,111434.409519376
"40","S01000040",2009,"Scotland","Aberdeen City","Aberdeen",896,105,791,2911.92250724785,2911.92250724785,2053,2045,5621,2167,11167.153938792,206468.355184734
"41","S01000041",2009,"Scotland","Aberdeen City","Aberdeen",753,65,688,2968.81253136123,2968.81253136123,3398,5624,4479,2167,9239.41930140692,433622.680465043
"42","S01000042",2009,"Scotland","Aberdeen City","Aberdeen",750,130,620,3614.47344369003,3614.47344369003,1284,3161,5891,2344.5,6129.73078940207,129552.746507198
"43","S01000043",2009,"Scotland","Aberdeen City","Aberdeen",731,105,626,3123.11143744619,3123.11143744619,1226,2651,5256,2344.5,8160.12924535332,448049.897997421
"44","S01000044",2009,"Scotland","Aberdeen City","Aberdeen",855,175,680,3689.92447398849,3689.92447398849,1060,1582,4880,3245.5,5886.32879245656,176539.08575079
"45","S01000045",2009,"Scotland","Aberdeen City","Aberdeen",550,10,540,4041.40057467381,4041.40057467381,6427,5936,2073,3245.5,4927.68599891589,160621.815100014
"46","S01000046",2009,"Scotland","Aberdeen City","Aberdeen",736,5,731,4081.53373813361,4081.53373813361,6136,6414,2123,3245.5,4960.1038051785,302415.023823828
"47","S01000047",2009,"Scotland","Aberdeen City","Aberdeen",728,80,648,2824.21079667542,2824.21079667542,2994,1152,5149,1536.5,9533.37959067853,134927.572941605
"48","S01000048",2009,"Scotland","Aberdeen City","Aberdeen",904,10,894,3520.31084956466,3520.31084956466,3807,5608,2825,2620.5,6674.0061183366,298930.709180316
"49","S01000049",2009,"Scotland","Aberdeen City","Aberdeen",764,25,739,3230.71710167519,3230.71710167519,6004,6105,3011,1536.5,7842.82534914215,147139.953370959
"50","S01000050",2009,"Scotland","Aberdeen City","Aberdeen",685,35,650,2749.14362159571,2749.14362159571,4491,5723,4315,1536.5,9960.31596759796,169617.358100154
"51","S01000051",2009,"Scotland","Aberdeen City","Aberdeen",794,25,769,4315.03775117728,4315.03775117728,6266,6210,1338,3462.5,4568.36367840892,203009.315400195
"52","S01000052",2009,"Scotland","Aberdeen City","Aberdeen",603,160,443,2053.89966228313,2053.89966228313,1780,1457,3746,418,12978.6330403981,187455.170292199
"53","S01000053",2009,"Scotland","Aberdeen City","Aberdeen",993,70,923,2424.32879143036,2424.32879143036,3353,4248,4410,1206,11502.6202398969,334928.645394741
"54","S01000054",2009,"Scotland","Aberdeen City","Aberdeen",749,30,719,3791.71450384854,3791.71450384854,4872,6122,2763,2620.5,6012.35069601573,226392.767822035
"55","S01000055",2009,"Scotland","Aberdeen City","Aberdeen",743,240,503,1947.76250495668,1947.76250495668,585,1794,5108,418,13142.7908430418,115912.370947981
"56","S01000056",2009,"Scotland","Aberdeen City","Aberdeen",1033,20,1013,6615.49291312897,6615.49291312897,6060,5969,870,5248,1750.53873453771,10502762.528967
"57","S01000057",2009,"Scotland","Aberdeen City","Aberdeen",674,220,454,2024.60270888546,2024.60270888546,347,1079,3951,969,10787.7157828639,76299.0284751058
"58","S01000058",2009,"Scotland","Aberdeen City","Aberdeen",713,20,693,3061.69456100995,3061.69456100995,4307,6266,3957,1536.5,8715.67778581694,173371.057252616
"59","S01000059",2009,"Scotland","Aberdeen City","Aberdeen",794,25,769,1587.48722088883,1587.48722088883,3856,5960,4662,1206,15846.235992749,351377.934022812
"60","S01000060",2009,"Scotland","Aberdeen City","Aberdeen",537,205,332,1897.64593330222,1897.64593330222,484,1676,2281,969,9126.29164144437,225222.971974887
"61","S01000061",2009,"Scotland","Aberdeen City","Aberdeen",1027,20,1007,4089.61993254915,4089.61993254915,5462,6273,1532,3462.5,5561.55198610283,467455.69935023
"62","S01000062",2009,"Scotland","Aberdeen City","Aberdeen",929,25,904,2284.52839897697,2284.52839897697,5743,1799,5323,1536.5,12699.2330485621,143208.506483033
"63","S01000063",2009,"Scotland","Aberdeen City","Aberdeen",908,35,873,2567.85056398258,2567.85056398258,3626,5102,5381,1536.5,11290.6968908724,190925.948517814
"64","S01000064",2009,"Scotland","Aberdeen City","Aberdeen",632,70,562,1772.55758685035,1772.55758685035,1037,2056.5,6107,418,13544.3792485674,119149.984554101
"65","S01000065",2009,"Scotland","Aberdeen City","Aberdeen",900,55,845,2136.02502933139,2136.02502933139,4476,2087,4933,1206,13199.2953810082,123903.137633206
"66","S01000066",2009,"Scotland","Aberdeen City","Aberdeen",767,110,657,1577.15438569267,1577.15438569267,102,553,6280,418,14880.4461863216,141379.227265784
"67","S01000067",2009,"Scotland","Aberdeen City","Aberdeen",1012,45,967,3209.71683358711,3209.71683358711,6201,5301,4290,2620.5,8585.36718556684,257280.692397594
"68","S01000068",2009,"Scotland","Aberdeen City","Aberdeen",832,30,802,1720.48576824765,1720.48576824765,4379,4701.5,4894,1206,15452.75867708,144791.204785637
"69","S01000069",2009,"Scotland","Aberdeen City","Aberdeen",657,155,502,1576.3827035641,1576.3827035641,563,940,6195,418,13168.7242290384,119840.492794829
"70","S01000070",2009,"Scotland","Aberdeen City","Aberdeen",632,120,512,1765.19382299815,1765.19382299815,744,1795,4041,969,10198.260472597,81735.8125482518
"71","S01000071",2009,"Scotland","Aberdeen City","Aberdeen",664,195,469,1690.79430852351,1690.79430852351,335,1221,5192,969,11417.5620580101,80415.1163262427
"72","S01000072",2009,"Scotland","Aberdeen City","Aberdeen",862,70,792,4988.6958369859,4988.6958369859,1611,4797,1079,4698,3900.73199850583,7376515.63388392
"73","S01000073",2009,"Scotland","Aberdeen City","Aberdeen",577,15,562,3625.1780901083,3625.1780901083,5035,6272,4386,2620.5,7083.68383707435,163391.749481305
"74","S01000074",2009,"Scotland","Aberdeen City","Aberdeen",790,305,485,2033.22718378367,2033.22718378367,835,1198.5,1645,969,7612.46923501477,68096.8555532992
"75","S01000075",2009,"Scotland","Aberdeen City","Aberdeen",504,25,479,1824.26322432722,1824.26322432722,3948,2310,6066,1206,15603.9413297846,74751.5396943167
"76","S01000076",2009,"Scotland","Aberdeen City","Aberdeen",731,5,726,4467.27863784398,4467.27863784398,5241,6418,1335,2605,4741.25172850313,170457.264681108
"77","S01000077",2009,"Scotland","Aberdeen City","Aberdeen",891,35,856,2504.92936963676,2504.92936963676,5281,4738,4682,1000.5,12399.8444255697,135561.605363533
"78","S01000078",2009,"Scotland","Aberdeen City","Aberdeen",742,115,627,1320.20193008494,1320.20193008494,591,348,6448,140.5,15316.4373251807,68080.3504503965
"79","S01000079",2009,"Scotland","Aberdeen City","Aberdeen",1074,35,1039,1350.62815319398,1350.62815319398,3295,2448,5311,140.5,17296.8176095612,163759.504570898
"80","S01000080",2009,"Scotland","Aberdeen City","Aberdeen",790,45,745,1916.35078400672,1916.35078400672,2540,1314,6019,1000.5,15831.1807855425,155308.161760313
"81","S01000081",2009,"Scotland","Aberdeen City","Aberdeen",906,15,891,2815.02843111434,2815.02843111434,5026,5842.5,3587,1054.5,10738.5910406405,333821.938647091
"82","S01000082",2009,"Scotland","Aberdeen City","Aberdeen",928,200,728,1796.0826860547,1796.0826860547,389,1504,2341,915,8043.461812969,1343480.6386027
"83","S01000083",2009,"Scotland","Aberdeen City","Aberdeen",762,15,747,2183.07804879802,2183.07804879802,3199,3021,5535,1000.5,14806.1395138426,118384.078877438
"84","S01000084",2009,"Scotland","Aberdeen City","Aberdeen",631,130,501,1411.24633259922,1411.24633259922,35,638,6105,140.5,12756.257990692,243323.626988038
"85","S01000085",2009,"Scotland","Aberdeen City","Aberdeen",583,40,543,1588.87302691263,1588.87302691263,2049,398,6315,244,18296.1367363786,58476.7603720874
"86","S01000086",2009,"Scotland","Aberdeen City","Aberdeen",711,30,681,1355.92851616133,1355.92851616133,3623,3489,6044,244,18423.6933193951,128811.051411414
"87","S01000087",2009,"Scotland","Aberdeen City","Aberdeen",883,10,873,3509.43678568885,3509.43678568885,2535,5647,4278,1054.5,8084.98604498251,320209.612416164
"88","S01000088",2009,"Scotland","Aberdeen City","Aberdeen",774,40,734,1473.98952468668,1473.98952468668,4991,3358,5942,244,18828.7441757354,69475.3038112423
"89","S01000089",2009,"Scotland","Aberdeen City","Aberdeen",948,15,933,4204.33242742394,4204.33242742394,5336,6259,2167,2605,5830.87441911057,324624.572786167
"90","S01000090",2009,"Scotland","Aberdeen City","Aberdeen",697,20,677,2265.03591503845,2265.03591503845,3799,2594.5,4965,1000.5,14823.9704263868,113967.846621413
"91","S01000091",2009,"Scotland","Aberdeen City","Aberdeen",1067,85,982,1865.31173546911,1865.31173546911,4095,776,5833,1000.5,17250.2456165156,72448.9703310655
"92","S01000092",2009,"Scotland","Aberdeen City","Aberdeen",790,30,760,1641.6833921218,1641.6833921218,1353,920,6244,244,18594.2830080382,67516.0375007652
"93","S01000093",2009,"Scotland","Aberdeen City","Aberdeen",562,45,517,1097.94911520981,1097.94911520981,3650,878,5457,244,20744.1752154568,57399.671240285
"94","S01000094",2009,"Scotland","Aberdeen City","Aberdeen",570,35,535,1366.85986418574,1366.85986418574,4292,1656,6114,244,20465.7558068957,64646.6082945596
"95","S01000095",2009,"Scotland","Aberdeen City","Aberdeen",774,25,749,2000.66459089888,2000.66459089888,4993,2101.5,6120,1000.5,16978.6880034523,79725.24351391
"96","S01000096",2009,"Scotland","Aberdeen City","Aberdeen",696,105,591,4577.26370950723,4577.26370950723,3079,2471,1958,4301,5058.28432697961,279486.649722084
"97","S01000097",2009,"Scotland","Aberdeen City","Aberdeen",1194,15,1179,2471.6933346147,2471.6933346147,2174,5397,5325,1000.5,14146.9218498724,398327.361662417
"98","S01000098",2009,"Scotland","Aberdeen City","Aberdeen",1083,175,908,789.874119981622,789.874119981622,44,584,4970,140.5,23420.0684562661,739834.572214141
"99","S01000099",2009,"Scotland","Aberdeen City","Aberdeen",821,15,806,3792.94897446377,3792.94897446377,3978,6444,2634,2605,8221.99088810424,439625.034682088
"100","S01000100",2009,"Scotland","Aberdeen City","Aberdeen",706,100,606,1094.83168993573,1094.83168993573,11,2110,5732,244,22766.1955224673,146390.258754873
"101","S01000101",2009,"Scotland","Aberdeen City","Aberdeen",859,15,844,1814.80633387435,1814.80633387435,643,3560,5870,1000.5,19028.3270307726,300678.133326849
"102","S01000102",2009,"Scotland","Aberdeen City","Aberdeen",749,140,609,1179.17176125893,1179.17176125893,138,1129,6135,257,22859.8679222809,94056.965694271
"103","S01000103",2009,"Scotland","Aberdeen City","Aberdeen",593,10,583,1271.50065258274,1271.50065258274,1514,828,6313,257,22256.0501834742,113073.538483363
"104","S01000104",2009,"Scotland","Aberdeen City","Aberdeen",938,15,923,2903.17342234714,2903.17342234714,3480,6315,2558,1029,11871.6351516791,348912.180559486
"105","S01000105",2009,"Scotland","Aberdeen City","Aberdeen",783,25,758,4419.34594320524,4419.34594320524,4149,5760,1783,1767,5843.18378258954,206458.974927504
"106","S01000106",2009,"Scotland","Aberdeen City","Aberdeen",722,10,712,2384.41226203837,2384.41226203837,3816,5750,4364,843,14837.1268210448,122262.270560086
"107","S01000107",2009,"Scotland","Aberdeen City","Aberdeen",892,90,802,133.17641015811,133.17641015811,12,546,5753,59,23724.086087236,135594.240514984
"108","S01000108",2009,"Scotland","Aberdeen City","Aberdeen",622,105,517,338.37622089633,338.37622089633,269,753,3060,125.5,18855.6944949094,599045.912583176
"109","S01000109",2009,"Scotland","Aberdeen City","Aberdeen",1046,95,951,866.67681775845,866.67681775845,8,393,6039,257,24297.0309612336,298603.819836738
"110","S01000110",2009,"Scotland","Aberdeen City","Aberdeen",785,70,715,3822.58858317422,3822.58858317422,3631,4308,3538,1767,8342.21920069291,283372
"111","S01000111",2009,"Scotland","Aberdeen City","Aberdeen",690,25,665,1853.39357055862,1853.39357055862,3394,4644,5180,843,18349.0304226479,114015.078623917
"112","S01000112",2009,"Scotland","Aberdeen City","Aberdeen",983,140,843,1203.37502189619,1203.37502189619,1517,882,5885,257,22179.4776808262,105068.623229422
"113","S01000113",2009,"Scotland","Aberdeen City","Aberdeen",575,15,560,2125.33157037812,2125.33157037812,3448,5693,4811,843,16552.0502520622,110650.447849541
"114","S01000114",2009,"Scotland","Aberdeen City","Aberdeen",746,150,596,4835.67930120251,4835.67930120251,1862,2101.5,2624,3582.5,4670.26633633142,332672.047846377
"115","S01000115",2009,"Scotland","Aberdeen City","Aberdeen",818,125,693,4046.9584611941,4046.9584611941,2881,1601,4099,1767,7596.19275757689,228923.879549973
