"","zone","accessA","accessB"
"1","S01006506",177594,570.987831809237
"2","S01006507",176642,554.326645121474
"3","S01006508",176786,549.017196472342
"4","S01006509",176208,629.290341938848
"5","S01006510",175695,644.28494228632
"6","S01006511",179304,609.411602778328
"7","S01006512",177163,401.204206511808
"8","S01006513",176822,631.907871815182
"9","S01006514",177513,578.626508113767
"10","S01006515",177509,570.149009715111
"11","S01006516",176835,614.790073791736
"12","S01006517",176944,1768.32760696649
"13","S01006518",176955,1091.29969351709
"14","S01006519",176956,1317.27827996852
"15","S01006520",177724,965.993899986061
"16","S01006521",176557,3835.21462593837
"17","S01006522",176457,2569.27525437412
"18","S01006523",176436,2363.06429942616
"19","S01006524",176599,1876.12382249081
"20","S01006525",176933,1559.2949502945
"21","S01006526",176540,6021.9413172374
"22","S01006527",176540,6443.57567720315
"23","S01006528",176261,7071.3534679499
"24","S01006529",176455,9662.56748219722
"25","S01006530",176441,8156.26849175218
"26","S01006531",176368,7368.05852101551
"27","S01006532",176625,11616.883172734
"28","S01006533",176728,10191.0563212633
"29","S01006534",176701,13152.8112581858
"30","S01006535",176626,14747.5857256602
"31","S01006536",176714,18122.3635251019
"32","S01006537",176913,6356.32681698287
"33","S01006538",176830,6441.68608668566
"34","S01006539",176609,9774.37488759536
"35","S01006540",176556,8151.70272356723
"36","S01006541",177059,7415.53832218193
"37","S01006542",177592,6014.09641826979
"38","S01006543",177077,5664.5485375897
"39","S01006544",177733,10625.0230134456
"40","S01006545",176823,9844.65937719745
"41","S01006546",177454,8216.86851931845
"42","S01006547",179170,4756.51795065122
"43","S01006548",177674,5838.54034762804
"44","S01006549",177800,9478.32350477064
"45","S01006550",177776,6845.43030886635
"46","S01006551",179043,5521.77569191899
"47","S01006552",178911,7250.95266107341
"48","S01006553",178435,9652.72536907449
"49","S01006554",178530,10996.5606488668
"50","S01006555",179196,6949.06457827478
"51","S01006556",178842,8724.25247846066
"52","S01006557",179336,4859.88912038034
"53","S01006558",177226,20796.3705048152
"54","S01006559",177304,19467.5181852384
"55","S01006560",177262,17658.6345948917
"56","S01006561",177382,17238.5397088027
"57","S01006562",177513,12955.207794878
"58","S01006563",177268,18658.6193426328
"59","S01006564",176982,26220.4029519364
"60","S01006565",176951,26534.813720237
"61","S01006566",177016,23653.5561879621
"62","S01006567",176982,25384.671294947
"63","S01006568",177016,23718.8857982619
"64","S01006569",177056,22141.8627558326
"65","S01006570",177107,21613.7335911787
"66","S01006571",177075,21227.896105827
"67","S01006572",177404,13838.1848562382
"68","S01006573",177329,17387.5180203424
