"","zone","accessA","accessB"
"1","E01003001",914003,8452.79259022
"2","E01003002",906177,7353.46114446583
"3","E01003003",953506,8881.04172981559
"4","E01003004",857200,7259.05546985494
"5","E01003005",835979,7087.85876939705
"6","E01003006",1537207,8211.77621973366
"7","E01003007",1614425,7796.43019969795
"8","E01003008",1624909,8988.72667021292
"9","E01003009",1659118,8415.96615990645
"10","E01003010",1510343,10568.5268877503
"11","E01003011",1416416,12884.9673645173
"12","E01003012",2198341,160064.47920612
"13","E01003013",2204452,162438.978883156
"14","E01003014",2196913,135491.373846371
"15","E01003015",2197327,116721.375257889
"16","E01003016",2206228,199842.974286611
"17","E01003017",2202278,190450.221870512
"18","E01003018",2260806,19906.6501123913
"19","E01003019",2256750,21040.8484235988
"20","E01003020",2256524,21880.7208103809
"21","E01003021",2259880,18424.4088386926
"22","E01003022",2260821,17237.2124568208
"23","E01003023",2267363,15245.2698159038
"24","E01003024",2268364,15386.7297219187
"25","E01003025",2266099,13786.118470014
"26","E01003026",2276664,18972.4175890696
"27","E01003027",2261403,19991.8204376684
"28","E01003028",2267274,17700.2846515482
"29","E01003029",2260823,20596.7032783984
"30","E01003030",2281199,17719.2308492905
"31","E01003031",2263651,17032.9635556529
"32","E01003032",2263797,22395.8148654783
"33","E01003033",2268416,19791.0464551739
"34","E01003034",2237245,31148.7646847443
"35","E01003035",2260872,27138.447262987
"36","E01003036",2254704,28500.554421417
"37","E01003037",2243677,28525.9736753272
"38","E01003038",2257737,27420.6506477775
"39","E01003039",2266816,26225.1851642274
"40","E01003040",2276316,25025.0556539958
"41","E01003041",2259809,24498.3167936884
"42","E01003042",2277623,23746.586306675
"43","E01003043",2256606,20285.0690961273
"44","E01003044",2255909,20163.794259913
"45","E01003045",2234646,29438.0808898446
"46","E01003046",2232447,29049.2895398753
"47","E01003047",2254926,25813.3143281609
"48","E01003048",2252478,26597.2569889397
"49","E01003049",2250876,26304.0856190822
"50","E01003050",2255314,22159.4798342284
"51","E01003051",2259777,23308.0881000221
"52","E01003052",2255819,22443.9370749352
"53","E01003053",2253382,27169.7103881426
"54","E01003054",2258103,25399.6598454042
"55","E01003055",2251335,24550.9963686998
"56","E01003056",2247991,25015.7966602835
"57","E01003057",2255779,23707.1933656018
"58","E01003058",2251267,23647.0027565064
"59","E01003059",2238191,30826.1604488362
"60","E01003060",2248550,29844.3908283774
"61","E01003061",2253260,27778.0267967945
"62","E01003062",2216693,8535.19486401601
"63","E01003063",2221711,8440.45935340311
"64","E01003064",2240839,8645.84327474351
"65","E01003065",2235980,8476.32607859478
"66","E01003066",2240028,8991.386950637
"67","E01003067",2234920,8245.45237543732
"68","E01003068",2235340,8442.20583942018
"69","E01003069",2232533,8302.89097139115
"70","E01003070",2231584,8243.75224972021
"71","E01003071",2256496,17735.4689750847
"72","E01003072",2258584,18091.1891684576
"73","E01003073",2258645,21350.0941038032
"74","E01003074",2256291,16810.137659407
"75","E01003075",2236302,29386.3397902615
"76","E01003076",2250844,27851.7712325527
"77","E01003077",2251495,26474.6529531367
"78","E01003078",2255904,21836.6566844673
"79","E01003079",2253986,10147.4793285314
"80","E01003080",2252425,10029.1299109726
"81","E01003081",2246597,9629.51274986183
"82","E01003082",2238099,8909.74114313863
"83","E01003083",2246375,9795.43743687424
"84","E01003084",2249681,9462.17190723959
