"","zone","type","area"
"152","E01000152","lsoa01",184871.124227761
"153","E01000153","lsoa01",165070.612181713
"154","E01000154","lsoa01",134772.524067799
"155","E01000155","lsoa01",290480.529223096
"156","E01000156","lsoa01",180025.261878148
"157","E01000157","lsoa01",125813.625691368
"158","E01000158","lsoa01",270371.82598323
"159","E01000159","lsoa01",493367.131675374
"160","E01000160","lsoa01",302459.801207199
"161","E01000161","lsoa01",242456.234652604
"162","E01000162","lsoa01",182303.136276223
"163","E01000163","lsoa01",191348.902149994
"164","E01000164","lsoa01",547111.156227375
"165","E01000165","lsoa01",185098.203419044
"166","E01000166","lsoa01",369612.946179745
"167","E01000167","lsoa01",601905.15939433
"168","E01000168","lsoa01",313864.474918411
"169","E01000169","lsoa01",238440.130862225
"170","E01000170","lsoa01",296511.037230396
"171","E01000171","lsoa01",333131.854032725
"172","E01000172","lsoa01",543863.490549789
"173","E01000173","lsoa01",365620.24635911
"174","E01000174","lsoa01",188550.127469938
"175","E01000175","lsoa01",500748.469891646
"176","E01000176","lsoa01",219754.288853295
"177","E01000177","lsoa01",168744.963693909
"178","E01000178","lsoa01",417633.690540762
"179","E01000179","lsoa01",143856.343535052
"180","E01000180","lsoa01",170603.306332092
"181","E01000181","lsoa01",143123.945319758
"182","E01000182","lsoa01",219362.675690387
"183","E01000183","lsoa01",231247.992290565
"184","E01000184","lsoa01",686054.743918652
"185","E01000185","lsoa01",123622.919674485
"186","E01000186","lsoa01",254915.737780536
"187","E01000187","lsoa01",215770.557318404
"188","E01000188","lsoa01",3189283.26868171
"189","E01000189","lsoa01",162055.4902892
"190","E01000190","lsoa01",248345.387150537
"191","E01000191","lsoa01",254355.773908681
"192","E01000192","lsoa01",284038.867663781
"193","E01000193","lsoa01",303890.539317987
"194","E01000194","lsoa01",332326.69208758
"195","E01000195","lsoa01",315289.788497315
"196","E01000196","lsoa01",245788.079945972
"197","E01000197","lsoa01",277046.859946385
"198","E01000198","lsoa01",329204.859965166
"199","E01000199","lsoa01",338086.996519218
"200","E01000200","lsoa01",277825.790479461
"201","E01000201","lsoa01",393640.062582448
"202","E01000202","lsoa01",225984.963501471
"203","E01000203","lsoa01",305179.800036028
"204","E01000204","lsoa01",316555.967674746
"205","E01000205","lsoa01",380385.734638958
"206","E01000206","lsoa01",1321195.98574119
"207","E01000207","lsoa01",346789.638032316
"208","E01000208","lsoa01",406838.587755613
"209","E01000209","lsoa01",401407.745433285
"210","E01000210","lsoa01",496401.087034265
"211","E01000211","lsoa01",274213.540167742
"212","E01000212","lsoa01",347786.815917774
"213","E01000213","lsoa01",424705.208200928
"214","E01000214","lsoa01",331266.837076024
"215","E01000215","lsoa01",218820.65468324
"216","E01000216","lsoa01",194942.60056961
"217","E01000217","lsoa01",214659.195878099
"218","E01000218","lsoa01",151662.8945525
"219","E01000219","lsoa01",191301.981399065
"220","E01000220","lsoa01",153230.974582634
"221","E01000221","lsoa01",421649.074046344
"222","E01000222","lsoa01",415983.798434194
"223","E01000223","lsoa01",544410.495317176
"224","E01000224","lsoa01",160531.300358826
"225","E01000225","lsoa01",310441.711587521
"226","E01000226","lsoa01",173071.002928244
"227","E01000227","lsoa01",255740.07695299
"228","E01000228","lsoa01",2886565.6624484
"229","E01000229","lsoa01",279912.645320134
"230","E01000230","lsoa01",271374.607034502
"231","E01000231","lsoa01",365000.177798525
"232","E01000232","lsoa01",298414.221789107
"233","E01000233","lsoa01",264698.184209584
"234","E01000234","lsoa01",276346.686921658
"235","E01000235","lsoa01",350810.138661334
"236","E01000236","lsoa01",229261.348261728
"237","E01000237","lsoa01",324447.967379301
"238","E01000238","lsoa01",211226.509380864
"239","E01000239","lsoa01",429535.76679824
"240","E01000240","lsoa01",440882.144953806
"241","E01000241","lsoa01",339707.044450165
"242","E01000242","lsoa01",276403.197456211
"243","E01000243","lsoa01",183659.643208189
"244","E01000244","lsoa01",223749.529677132
"245","E01000245","lsoa01",181072.049225872
"246","E01000246","lsoa01",1076410.25437496
"247","E01000247","lsoa01",265680.636749349
"248","E01000248","lsoa01",270839.615829943
"249","E01000249","lsoa01",812976.422084119
"250","E01000250","lsoa01",581597.713255309
"251","E01000251","lsoa01",223073.535813564
"252","E01000252","lsoa01",234927.937387084
"253","E01000253","lsoa01",3316942.40841824
"254","E01000254","lsoa01",1526842.42739721
"255","E01000255","lsoa01",1068263.62198039
"256","E01000256","lsoa01",561904.703031443
"257","E01000257","lsoa01",679996.530727626
"258","E01000258","lsoa01",798086.847437251
"259","E01000259","lsoa01",1284037.03462369
"260","E01000260","lsoa01",816325.46441634
"261","E01000261","lsoa01",1197225.66925809
"262","E01000262","lsoa01",2209562.58375684
"263","E01000263","lsoa01",394134.619625853
"264","E01000264","lsoa01",377875.747828754
"265","E01000265","lsoa01",210733.677261843
"266","E01000266","lsoa01",642304.507688448
"267","E01000267","lsoa01",279430.38523484
"268","E01000268","lsoa01",252472.959122192
"269","E01000269","lsoa01",271690.384407177
"270","E01000270","lsoa01",252051.670999895
"271","E01000271","lsoa01",342143.655244883
"272","E01000272","lsoa01",469611.577580118
"273","E01000273","lsoa01",329367.281870667
"274","E01000274","lsoa01",267154.046356666
"275","E01000275","lsoa01",331155.458288673
"276","E01000276","lsoa01",512670.869187614
"277","E01000277","lsoa01",185072.890291072
"278","E01000278","lsoa01",275260.424729967
"279","E01000279","lsoa01",5043034.17300353
"280","E01000280","lsoa01",1016115.9903548
"281","E01000281","lsoa01",269131.945274966
"282","E01000282","lsoa01",528738.719622278
"283","E01000283","lsoa01",330542.99596718
"284","E01000284","lsoa01",275958.841381954
