"","zone","accessA","accessB"
"148","E01027379",7182,1019.11524781655
"149","E01027516",158986,2125.96591459656
"150","E01027517",144085,2097.08320008973
"151","E01027514",173489,2086.77262996358
"152","E01027515",171695,2170.32473728603
"153","E01027512",4905,11.8489544414509
"154","E01027513",256999,893.374735810788
"155","E01027510",14023,92.94871143799
"156","E01027511",7777,63.851301548095
"157","E01027518",162154,2221.89066329917
"158","E01027519",165793,2153.50410069064
"159","E01027476",16365,1308.37317223991
"160","E01027477",4528,38.4186041464286
"161","E01027474",49662,262.211392670628
"162","E01027475",49372,260.146901302637
"163","E01027472",59731,153.102328839989
"164","E01027473",163262,284.934322859582
"165","E01027471",269912,647.296801840856
"166","E01027478",12030,181.280047328381
"167","E01027479",2450,154.02053767172
"168","E01008836",270418,11960.9154554932
"169","E01008837",494403,4197.16767101519
"170","E01008834",279529,12340.4182644293
"171","E01008835",308593,11996.3442129547
"172","E01008832",329228,12217.4024625776
"173","E01008833",336115,11191.4884970812
"174","E01008830",324226,12288.0008186436
"175","E01008831",298336,14175.6485945858
"176","E01008838",498524,4328.0552248007
"177","E01008839",468672,4778.05890272419
"178","E01012137",31104,683.92474248303
"179","E01012134",19666,732.241130324776
"180","E01012132",49860,320.212051274233
"181","E01012130",157547,1927.98676220327
"182","E01012131",161931,2578.02180210238
"183","E01012138",137795,1411.02013338943
"184","E01012139",127074,842.666280932888
"185","E01012347",85341,5644.08349643906
"186","E01012344",146220,898.169189600773
"187","E01012345",151186,779.871170987572
"188","E01012342",111172,8670.6479018951
"189","E01012343",125810,6443.65064173955
"190","E01012340",101434,6842.12486870965
"191","E01012341",109764,5789.50311443117
"192","E01012348",83961,4076.24459762991
"193","E01012349",106026,7901.85187647024
"194","E01008336",458685,8558.95541915975
"195","E01008337",453167,6907.21286133254
"196","E01008334",473034,12099.8700872956
"197","E01008335",480326,14885.9356818289
"198","E01008332",476288,13531.6654168323
"199","E01008333",485664,17617.2469830767
"200","E01008330",397992,4939.41888976024
"201","E01008331",493187,21019.771990696
"202","E01008338",447845,6688.94478484655
"203","E01008339",451359,7312.12353176729
"204","E01012236",199198,3536.09433482185
"205","E01012237",194084,3000.14567284953
"206","E01012234",191566,1902.726795219
"207","E01012235",192606,591.787700593056
"208","E01012232",189794,2178.31938036716
"209","E01012233",185666,1576.20723306314
"210","E01012230",187521,2356.98395265495
"211","E01012231",201805,2247.36435835817
"212","E01012238",204462,8208.32837171386
"213","E01012239",203225,7604.36493952606
"214","E01008546",347803,2771.3947378047
"215","E01008547",378026,2695.11667504209
"216","E01008542",518215,6777.36911106139
"217","E01008543",521958,6654.21759893535
"218","E01008540",513042,6781.19062861935
"219","E01008541",503439,7314.0154093846
"220","E01008548",390094,2900.83439702802
"221","E01008549",353992,2489.67416477758
"222","E01011957",157096,6014.29249973532
"223","E01011954",103075,2126.76923792336
"224","E01011955",148167,6303.42424662526
"225","E01011952",131142,4213.77304707223
"226","E01011953",117746,3089.47813123124
"227","E01011950",201306,6206.06304988094
"228","E01011951",199920,6902.62205446412
"229","E01011959",174790,308.29001145666
"230","E01008436",530947,7552.16534797924
"231","E01008437",484701,17605.9797707092
"232","E01008434",523713,7609.26965523621
"233","E01008435",528577,8175.9408796219
"234","E01008432",535097,9233.14797542356
"235","E01008433",526260,8933.57686860728
"236","E01008430",538669,7817.60719396355
"237","E01008431",537410,8553.67422470856
"238","E01008438",497484,23435.8649423261
"239","E01008439",496155,25953.0180122967
"240","E01020746",110771,3159.13036706479
"241","E01020747",197303,1954.60921799505
"242","E01020744",109531,2556.61011513101
"243","E01020745",111863,3309.24613551822
"244","E01020742",169728,2200.71852883796
"245","E01020743",175449,1877.40771370529
"246","E01020740",174042,2363.91548820783
"247","E01020741",171011,2273.41822439244
"248","E01020748",206834,1807.14402266732
"249","E01020749",191507,2057.31076572302
"250","E01020636",323349,1053.77894701742
"251","E01020637",41778,550.873036721844
"252","E01020634",333811,974.313987205494
"253","E01020635",351972,869.409810631248
"254","E01020632",64742,2933.05509164564
"255","E01020633",178851,331.075817846317
