"zone","type","year2004","year2006","year2007","year2009","year2010","year2012","year2015","year2016"
"E01000061","lsoa01",16.67214,14.66599,12.92852,13.97071,13.47611,13.08705,10.54769,12.09262
"E01000062","lsoa01",16.67214,14.66599,12.92852,13.97071,13.47611,13.08705,10.54769,12.09262
"E01000063","lsoa01",16.64339,14.79468,13.20093,14.29173,13.80486,13.40341,10.87554,12.96321
"E01000064","lsoa01",16.67214,14.66599,12.92852,13.97071,13.47611,13.08705,10.54769,12.09262
"E01000065","lsoa01",16.57539,14.85431,13.03973,13.96463,13.52352,13.06934,10.67317,12.72751
"E01000066","lsoa01",16.48289,14.70786,13.11775,14.27537,13.73826,13.54045,10.99733,12.51687
"E01000067","lsoa01",16.68567,14.8876,13.40116,14.4539,13.9523,13.67982,11.16609,12.62893
"E01000068","lsoa01",17.49904,15.86721,13.99379,15.26311,14.9576,14.50363,11.66923,12.96776
"E01000069","lsoa01",17.11371,15.24605,13.47045,14.60111,14.06854,13.76852,11.19478,12.72551
"E01000070","lsoa01",17.11371,15.24605,13.47045,14.60111,14.06854,13.76852,11.19478,12.72551
"E01000071","lsoa01",17.11371,15.24605,13.47045,14.60111,14.06854,13.76852,11.19478,12.72551
"E01000072","lsoa01",16.86481,15.01879,13.09115,14.37915,13.85579,13.6749,11.15887,12.67208
"E01000073","lsoa01",16.48289,14.70786,13.11775,14.27537,13.73826,13.54045,10.99733,12.51687
"E01000074","lsoa01",16.49597,14.69064,13.12615,14.2677,13.80963,13.44876,10.9068,12.78769
"E01000075","lsoa01",16.72923,14.92194,12.99905,14.10491,13.65783,13.33707,10.89045,12.70962
"E01000076","lsoa01",16.72923,14.92194,12.99905,14.10491,13.65783,13.33707,10.89045,12.70962
"E01000077","lsoa01",16.49597,14.69064,13.12615,14.2677,13.80963,13.44876,10.9068,12.78769
"E01000078","lsoa01",16.49597,14.69064,13.12615,14.2677,13.80963,13.44876,10.9068,12.78769
"E01000079","lsoa01",16.57539,14.85431,13.03973,13.96463,13.52352,13.06934,10.67317,12.72751
"E01000080","lsoa01",16.49597,14.69064,13.12615,14.2677,13.80963,13.44876,10.9068,12.78769
"E01000081","lsoa01",16.57539,14.85431,13.03973,13.96463,13.52352,13.06934,10.67317,12.72751
"E01000082","lsoa01",16.64339,14.79468,13.20093,14.29173,13.80486,13.40341,10.87554,12.96321
"E01000083","lsoa01",16.49597,14.69064,13.12615,14.2677,13.80963,13.44876,10.9068,12.78769
"E01000084","lsoa01",17.15955,15.75736,12.90094,13.92605,13.53995,13.01888,10.6251,12.57653
"E01000085","lsoa01",17.27439,15.84724,13.01559,14.30191,13.77149,13.2599,10.80909,12.38381
"E01000086","lsoa01",17.15955,15.75736,12.90094,13.92605,13.53995,13.01888,10.6251,12.57653
"E01000087","lsoa01",17.38734,16.16236,14.06223,16.62583,17.51061,14.82983,11.69424,12.77415
"E01000088","lsoa01",17.38734,16.16236,14.06223,16.62583,17.51061,14.82983,11.69424,12.77415
"E01000089","lsoa01",17.38734,16.16236,14.06223,16.62583,17.51061,14.82983,11.69424,12.77415
"E01000090","lsoa01",19.28151,15.6365,13.849065,14.06467,14.0383,13.130575,10.608795,11.667165
"E01000091","lsoa01",16.71664,14.71653,13.78587,15.46753,15.48761,14.75796,11.81737,12.54695
"E01000092","lsoa01",16.3517966666667,14.3053025,12.8540775,13.9668325,13.6150425,13.0955725,10.58349,11.53265
"E01000093","lsoa01",17.07379,15.04489,14.24396,15.88004,15.81559,15.11794,12.16709,13.04657
"E01000094","lsoa01",16.35714,14.39921,12.85511,13.98655,13.70573,13.22813,10.69833,11.59634
"E01000095","lsoa01",16.567405,14.977225,12.998345,14.24444,14.229885,13.52691,10.930295,11.789415
"E01000096","lsoa01",16.71664,14.71653,13.78587,15.46753,15.48761,14.75796,11.81737,12.54695
"E01000097","lsoa01",16.59631,14.74077,13.01971,14.11364,13.50148,13.46327,10.98252,12.54471
"E01000098","lsoa01",16.71377,14.83008,13.20028,14.01723,13.49449,13.22156,10.70407,12.75218
"E01000099","lsoa01",16.59631,14.74077,13.01971,14.11364,13.50148,13.46327,10.98252,12.54471
"E01000100","lsoa01",16.64339,14.79468,13.20093,14.29173,13.80486,13.40341,10.87554,12.96321
"E01000101","lsoa01",16.64339,14.79468,13.20093,14.29173,13.80486,13.40341,10.87554,12.96321
"E01000102","lsoa01",16.71377,14.83008,13.20028,14.01723,13.49449,13.22156,10.70407,12.75218
"E01000103","lsoa01",17.21728,15.79475,12.97588,14.10689,13.87894,12.94741,10.53969,11.65842
"E01000104","lsoa01",17.06101,15.48444,12.98315,14.20406,13.60872,13.14587,10.79895,11.96901
"E01000105","lsoa01",17.27439,15.84724,13.01559,14.30191,13.77149,13.2599,10.80909,12.38381
"E01000106","lsoa01",17.27439,15.84724,13.01559,14.30191,13.77149,13.2599,10.80909,12.38381
"E01000107","lsoa01",17.06101,15.48444,12.98315,14.20406,13.60872,13.14587,10.79895,11.96901
"E01000108","lsoa01",17.06101,15.48444,12.98315,14.20406,13.60872,13.14587,10.79895,11.96901
"E01000109","lsoa01",16.42797,14.66299,13.15833,14.37934,13.84326,13.5533,11.00264,12.3927
"E01000110","lsoa01",16.07729,14.23631,12.78356,14.08183,13.46597,13.77646,11.2582,12.18275
"E01000111","lsoa01",16.42797,14.66299,13.15833,14.37934,13.84326,13.5533,11.00264,12.3927
"E01000112","lsoa01",16.42797,14.66299,13.15833,14.37934,13.84326,13.5533,11.00264,12.3927
"E01000113","lsoa01",16.59631,14.74077,13.01971,14.11364,13.50148,13.46327,10.98252,12.54471
"E01000114","lsoa01",16.36918,14.53098,12.579,13.50757,12.93214,12.68938,10.18081,11.60231
"E01000115","lsoa01",15.85715,14.10237,12.73685,13.08435,12.62243,12.72592,9.950455,11.19092
"E01000116","lsoa01",15.85715,14.10237,12.73685,13.08435,12.62243,12.72592,9.950455,11.19092
"E01000117","lsoa01",15.88932,14.08053,12.50496,12.91535,12.42092,12.66222,9.892406,11.02321
"E01000118","lsoa01",15.85715,14.10237,12.73685,13.08435,12.62243,12.72592,9.950455,11.19092
"E01000119","lsoa01",16.11773,14.35662,12.79133,13.51091,13.05181,13.16763,10.33103,11.39883
"E01000120","lsoa01",15.85715,14.10237,12.73685,13.08435,12.62243,12.72592,9.950455,11.19092
"E01000121","lsoa01",16.05937,14.29779,12.65145,13.21318,12.69626,12.88642,10.11478,11.27735
"E01000122","lsoa01",16.11773,14.35662,12.79133,13.51091,13.05181,13.16763,10.33103,11.39883
"E01000123","lsoa01",16.05937,14.29779,12.65145,13.21318,12.69626,12.88642,10.11478,11.27735
"E01000124","lsoa01",16.20466,14.57833,13.13649,14.05163,13.65042,13.86697,10.85555,11.76821
"E01000125","lsoa01",16.34838,14.49391,12.94957,13.70247,13.52058,13.58299,10.34974,11.47461
"E01000126","lsoa01",16.61995,14.72498,13.05914,13.77542,13.34749,13.34774,10.49763,11.5989
"E01000127","lsoa01",16.65317,14.69173,13.11019,13.55382,13.22123,13.15365,10.23385,11.66598
"E01000128","lsoa01",16.60478,14.65591,13.07953,13.64773,13.31977,13.38664,10.39951,11.67251
"E01000129","lsoa01",16.60478,14.65591,13.07953,13.64773,13.31977,13.38664,10.39951,11.67251
"E01000130","lsoa01",16.60478,14.65591,13.07953,13.64773,13.31977,13.38664,10.39951,11.67251
"E01000131","lsoa01",16.60478,14.65591,13.07953,13.64773,13.31977,13.38664,10.39951,11.67251
"E01000132","lsoa01",16.65317,14.69173,13.11019,13.55382,13.22123,13.15365,10.23385,11.66598
"E01000133","lsoa01",16.44649,14.57598,13.19044,14.72351,14.60428,14.55295,11.44322,12.01357
"E01000134","lsoa01",16.65317,14.69173,13.11019,13.55382,13.22123,13.15365,10.23385,11.66598
"E01000135","lsoa01",17.25027,15.35449,13.86173,15.0167,14.70985,14.71417,11.54878,12.12213
"E01000136","lsoa01",16.61046,15.13866,13.43961,14.47439,14.07266,13.95931,11.06879,11.64035
"E01000137","lsoa01",17.14424,15.45223,13.84253,14.89309,14.67729,14.61139,11.55882,12.20144
"E01000138","lsoa01",17.14424,15.45223,13.84253,14.89309,14.67729,14.61139,11.55882,12.20144
"E01000139","lsoa01",16.95228,15.5297,13.28728,14.06308,14.08225,14.05315,11.29903,11.82076
"E01000140","lsoa01",16.61046,15.13866,13.43961,14.47439,14.07266,13.95931,11.06879,11.64035
"E01000141","lsoa01",17.54787,15.67367,13.81371,14.87719,14.59046,14.54333,11.29269,12.0284
"E01000142","lsoa01",17.14424,15.45223,13.84253,14.89309,14.67729,14.61139,11.55882,12.20144
"E01000143","lsoa01",16.95228,15.5297,13.28728,14.06308,14.08225,14.05315,11.29903,11.82076
"E01000144","lsoa01",17.25027,15.35449,13.86173,15.0167,14.70985,14.71417,11.54878,12.12213
"E01000145","lsoa01",17.25027,15.35449,13.86173,15.0167,14.70985,14.71417,11.54878,12.12213
"E01000146","lsoa01",16.64634,14.904,13.37816,14.57461,14.16624,14.01169,11.09337,11.66795
"E01000147","lsoa01",16.93664,14.988,13.35157,14.28412,13.91575,13.60131,10.50932,11.55841
"E01000148","lsoa01",16.93664,14.988,13.35157,14.28412,13.91575,13.60131,10.50932,11.55841
"E01000149","lsoa01",16.93664,14.988,13.35157,14.28412,13.91575,13.60131,10.50932,11.55841
"E01000150","lsoa01",17.12813,15.16605,13.36766,14.30564,14.0199,13.93041,10.78329,11.77553
"E01000151","lsoa01",16.61995,14.72498,13.05914,13.77542,13.34749,13.34774,10.49763,11.5989
"E01000152","lsoa01",16.61995,14.72498,13.05914,13.77542,13.34749,13.34774,10.49763,11.5989
"E01000153","lsoa01",16.61995,14.72498,13.05914,13.77542,13.34749,13.34774,10.49763,11.5989
"E01000154","lsoa01",16.61995,14.72498,13.05914,13.77542,13.34749,13.34774,10.49763,11.5989
"E01000155","lsoa01",16.61995,14.72498,13.05914,13.77542,13.34749,13.34774,10.49763,11.5989
"E01000156","lsoa01",16.09266,14.70257,12.79406,13.28194,13.18432,13.10028,10.4771,11.56209
"E01000157","lsoa01",16.12079,14.64581,13.3788,14.53386,14.29416,14.08049,11.31618,12.01124
"E01000158","lsoa01",16.20466,14.57833,13.13649,14.05163,13.65042,13.86697,10.85555,11.76821
"E01000159","lsoa01",16.30695,14.54885,12.93896,13.53482,13.05779,13.17101,10.34194,11.4095
"E01000160","lsoa01",16.20466,14.57833,13.13649,14.05163,13.65042,13.86697,10.85555,11.76821
"E01000161","lsoa01",16.20466,14.57833,13.13649,14.05163,13.65042,13.86697,10.85555,11.76821
"E01000162","lsoa01",16.30742,14.68869,13.2369,14.47619,14.22484,14.00557,11.18493,11.8466
"E01000163","lsoa01",16.12079,14.64581,13.3788,14.53386,14.29416,14.08049,11.31618,12.01124
"E01000164","lsoa01",16.30742,14.68869,13.2369,14.47619,14.22484,14.00557,11.18493,11.8466
"E01000165","lsoa01",16.12079,14.64581,13.3788,14.53386,14.29416,14.08049,11.31618,12.01124
"E01000166","lsoa01",15.41701,13.54451,12.34026,12.57281,12.1654,12.22094,9.591419,10.79016
"E01000167","lsoa01",15.49052,13.59402,12.47928,12.73124,12.50767,12.49621,9.739248,10.81727
"E01000168","lsoa01",15.41701,13.54451,12.34026,12.57281,12.1654,12.22094,9.591419,10.79016
"E01000169","lsoa01",15.41701,13.54451,12.34026,12.57281,12.1654,12.22094,9.591419,10.79016
"E01000170","lsoa01",15.75431,13.92587,12.59848,12.85874,12.4677,12.53918,9.799128,11.06486
"E01000171","lsoa01",15.49052,13.59402,12.47928,12.73124,12.50767,12.49621,9.739248,10.81727
"E01000172","lsoa01",15.65585,13.89156,12.64937,13.01077,12.6257,12.66137,9.859483,10.96528
"E01000173","lsoa01",15.75431,13.92587,12.59848,12.85874,12.4677,12.53918,9.799128,11.06486
"E01000174","lsoa01",15.75431,13.92587,12.59848,12.85874,12.4677,12.53918,9.799128,11.06486
"E01000175","lsoa01",15.88932,14.08053,12.50496,12.91535,12.42092,12.66222,9.892406,11.02321
"E01000176","lsoa01",16.64532,14.87607,13.53644,14.90805,14.64328,14.38295,11.6181,12.1127
"E01000177","lsoa01",16.60481,14.8387,13.38792,14.18607,13.79207,13.63437,10.86969,11.74283
"E01000178","lsoa01",16.3541,14.79112,12.4756,13.00093,12.88435,12.82101,10.1319,11.17933
"E01000179","lsoa01",16.60481,14.8387,13.38792,14.18607,13.79207,13.63437,10.86969,11.74283
"E01000180","lsoa01",16.60481,14.8387,13.38792,14.18607,13.79207,13.63437,10.86969,11.74283
"E01000181","lsoa01",16.22316,14.68634,13.32973,14.3208,13.93221,13.7546,10.98343,11.80219
"E01000182","lsoa01",16.22316,14.68634,13.32973,14.3208,13.93221,13.7546,10.98343,11.80219
"E01000183","lsoa01",16.60481,14.8387,13.38792,14.18607,13.79207,13.63437,10.86969,11.74283
"E01000184","lsoa01",16.64532,14.87607,13.53644,14.90805,14.64328,14.38295,11.6181,12.1127
"E01000185","lsoa01",16.64532,14.87607,13.53644,14.90805,14.64328,14.38295,11.6181,12.1127
"E01000186","lsoa01",16.20514,14.28979,12.93931,13.55174,13.22152,13.33713,10.29509,11.21416
"E01000187","lsoa01",15.99216,14.06226,12.43882,12.74776,12.40527,12.40172,9.691543,10.77165
"E01000188","lsoa01",15.63446,13.68034,12.249185,12.976285,12.779835,12.70993,10.19308,10.774615
"E01000189","lsoa01",15.8717,13.9374,12.6675,13.08708,12.77994,12.84091,9.955588,10.92889
"E01000190","lsoa01",15.8717,13.9374,12.6675,13.08708,12.77994,12.84091,9.955588,10.92889
"E01000191","lsoa01",16.20514,14.28979,12.93931,13.55174,13.22152,13.33713,10.29509,11.21416
"E01000192","lsoa01",16.20514,14.28979,12.93931,13.55174,13.22152,13.33713,10.29509,11.21416
"E01000193","lsoa01",16.20514,14.28979,12.93931,13.55174,13.22152,13.33713,10.29509,11.21416
"E01000194","lsoa01",16.34838,14.49391,12.94957,13.70247,13.52058,13.58299,10.34974,11.47461
"E01000195","lsoa01",16.21739,14.16356,13.13299,14.35652,13.99743,14.01045,11.07226,11.43787
"E01000196","lsoa01",16.88705,14.99148,13.3623,14.43056,13.96933,14.02813,11.0975,11.77414
"E01000197","lsoa01",16.88705,14.99148,13.3623,14.43056,13.96933,14.02813,11.0975,11.77414
"E01000198","lsoa01",16.59965,14.737,12.97291,13.73194,13.28948,13.49705,10.58199,11.34447
"E01000199","lsoa01",16.74913,14.84107,13.15552,13.86609,13.39746,13.62079,10.62728,11.40051
"E01000200","lsoa01",16.74913,14.84107,13.15552,13.86609,13.39746,13.62079,10.62728,11.40051
"E01000201","lsoa01",17.17987,15.20957,14.09126,15.44986,15.29384,15.11312,11.91097,12.16429
"E01000202","lsoa01",17.06242,15.14082,14.02016,15.28426,15.0209,14.62226,11.73227,12.05573
"E01000203","lsoa01",17.06242,15.14082,14.02016,15.28426,15.0209,14.62226,11.73227,12.05573
"E01000204","lsoa01",16.74913,14.84107,13.15552,13.86609,13.39746,13.62079,10.62728,11.40051
"E01000205","lsoa01",17.06242,15.14082,14.02016,15.28426,15.0209,14.62226,11.73227,12.05573
"E01000206","lsoa01",16.06072,14.52397,12.98625,13.7529,13.24995,13.25373,10.41021,11.20932
"E01000207","lsoa01",17.02021,15.15655,13.28429,14.0635,13.6339,13.52421,10.694,11.55183
"E01000208","lsoa01",16.60481,14.8387,13.38792,14.18607,13.79207,13.63437,10.86969,11.74283
"E01000209","lsoa01",17.02021,15.15655,13.28429,14.0635,13.6339,13.52421,10.694,11.55183
"E01000210","lsoa01",17.06242,15.14082,14.02016,15.28426,15.0209,14.62226,11.73227,12.05573
"E01000211","lsoa01",17.59262,15.58929,13.90602,15.23273,14.95151,14.82904,11.71178,12.16335
"E01000212","lsoa01",17.02021,15.15655,13.28429,14.0635,13.6339,13.52421,10.694,11.55183
"E01000213","lsoa01",16.51128,14.80934,13.20543,14.10018,13.6408,13.51066,10.81886,11.5232
"E01000214","lsoa01",16.64634,14.904,13.37816,14.57461,14.16624,14.01169,11.09337,11.66795
"E01000215","lsoa01",17.59262,15.58929,13.90602,15.23273,14.95151,14.82904,11.71178,12.16335
"E01000216","lsoa01",17.59262,15.58929,13.90602,15.23273,14.95151,14.82904,11.71178,12.16335
"E01000217","lsoa01",17.59262,15.58929,13.90602,15.23273,14.95151,14.82904,11.71178,12.16335
"E01000218","lsoa01",17.59262,15.58929,13.90602,15.23273,14.95151,14.82904,11.71178,12.16335
"E01000219","lsoa01",17.92546,15.85971,14.39561,16.17165,16.16547,15.93316,12.14613,12.35036
"E01000220","lsoa01",17.25027,15.35449,13.86173,15.0167,14.70985,14.71417,11.54878,12.12213
"E01000221","lsoa01",17.92546,15.85971,14.39561,16.17165,16.16547,15.93316,12.14613,12.35036
