"","zone","accessA","accessB"
"148","S01000148",159073,5476.35566090199
"149","S01000149",157964,17602.4783213084
"150","S01000150",158952,8210.67730532841
"151","S01000151",158511,9755.91176689275
"152","S01000152",158072,16059.0893462263
"153","S01000153",157914,14851.5868919997
"154","S01000154",159321,4498.52398843681
"155","S01000155",158899,7339.06758440134
"156","S01000156",157964,16520.332615491
"157","S01000157",158445,10423.9944723774
"158","S01000158",158289,10988.2178438395
"159","S01000159",159600,880.281588618708
"160","S01000160",158892,6953.04702578305
"161","S01000161",157977,15193.9988216118
"162","S01000162",158153,13532.6228422965
"163","S01000163",159162,5232.99753622718
"164","S01000164",157866,11608.8260594504
"165","S01000165",158106,14121.4662911119
"166","S01000166",157955,13696.1647531895
"167","S01000167",158653,8219.09123333452
"168","S01000168",158847,7321.4269172274
"169","S01000169",158250,10934.3528994867
"170","S01000170",157977,14453.2165220249
"171","S01000171",159587,1186.30812377593
"172","S01000172",158224,12339.8130352909
"173","S01000173",158362,9865.37285520882
"174","S01000174",159576,1013.67266633439
"175","S01000175",158041,14315.4702480515
"176","S01000176",157812,11211.4273310645
"177","S01000177",158106,13368.0631899031
"178","S01000178",158850,6055.46876473191
"179","S01000179",157677,7752.74248247969
"180","S01000180",158941,5689.09614757445
"181","S01000181",158708,7419.88338693681
"182","S01000182",159170,4271.45973341942
"183","S01000183",157932,12266.7651426373
"184","S01000184",158071,12005.0038778976
"185","S01000185",157731,8906.9335417268
"186","S01000186",158270,10197.6872598962
"187","S01000187",158563,8456.34019784939
"188","S01000188",157769,9967.88286773015
"189","S01000189",158721,7029.88953957254
"190","S01000190",159059,4704.86788040286
"191","S01000191",158100,9844.22064765442
"192","S01000192",157686,8568.02395379208
"193","S01000193",158861,4937.85098408322
"194","S01000194",157879,10016.9006198526
"195","S01000195",157811,9940.32898351156
"196","S01000196",158716,5335.92648550803
"197","S01000197",158942,4105.27260410643
"198","S01000198",158538,6814.49572746997
"199","S01000199",157912,9402.52311933676
"200","S01000200",158151,7585.43150339535
"201","S01000201",158407,7437.99454667967
"202","S01000202",158048,8430.17305498269
"203","S01000203",157842,8732.40821316848
"204","S01000204",158875,4302.36637068057
"205","S01000205",157706,7910.67136962475
"206","S01000206",158786,4574.56786178923
"207","S01000207",157706,7180.4689812092
"208","S01000208",158658,5458.77538807245
"209","S01000209",158481,5837.01127626788
"210","S01000210",157961,7676.40656430952
"211","S01000211",157783,8172.8002269817
"212","S01000212",158705,4888.52574053176
"213","S01000213",158289,6563.89127767063
"214","S01000214",159214,2621.36132979627
"215","S01000215",160840,2627.57000162777
"216","S01000216",157961,7241.75022600346
"217","S01000217",157760,6996.0486667148
"218","S01000218",159135,2958.28730070238
"219","S01000219",157827,6878.51517048227
"220","S01000220",157676,5875.43938514774
"221","S01000221",158444,5915.52432765916
"222","S01000222",159144,3465.42658506118
"223","S01000223",158645,4540.78881416552
"224","S01000224",159187,2973.47356470965
"225","S01000225",157785,4924.45889560301
"226","S01000226",157736,4300.59214955918
"227","S01000227",158235,5683.10610716728
"228","S01000228",158904,4199.83719666848
"229","S01000229",159182,3863.83982924891
"230","S01000230",157910,5613.19092073719
"231","S01000231",158281,5143.14620313867
"232","S01000232",157792,4582.63143209291
"233","S01000233",157833,5086.46778966814
"234","S01000234",158463,4131.53047635244
"235","S01000235",158380,4515.49592800007
"236","S01000236",157829,4205.30238668347
"237","S01000237",160302,3540.25337609076
"238","S01000238",158302,4359.44883785689
"239","S01000239",157847,4485.51381291552
"240","S01000240",157929,4895.08060181141
"241","S01000241",158271,4524.7065654954
"242","S01000242",157800,3509.18434677522
"243","S01000243",158026,4756.10105397091
"244","S01000244",159119,5245.95656281673
"245","S01000245",158093,4495.14132898811
"246","S01000246",158197,4013.83722235558
"247","S01000247",158010,4528.15661178712
"248","S01000248",157880,4833.56213077192
"249","S01000249",156910,3978.36964116008
"250","S01000250",157654,4004.06035385516
"251","S01000251",157506,4156.37497662565
"252","S01000252",157654,3337.39687806917
"253","S01000253",157605,3713.43299429748
"254","S01000254",156681,4222.40784579781
"255","S01000255",157689,3138.40122866434
"256","S01000256",157862,3451.44433060637
"257","S01000257",160014,11533.4668067864
"258","S01000258",156541,2684.58597716507
"259","S01000259",155758,3778.40859140726
"260","S01000260",156310,2856.28881550414
"261","S01000261",160406,13150.9414360229
"262","S01000262",161631,12954.9163072067
