"name","pweight_x","pweight_y","pop11","number_lsoa","type"
"Cold Ash BUASD",450986.235697863,169961.138316333,3458,2,"buasd"
"Coldeast BUASD",281673.798256367,74859.2162021771,1289,1,"buasd"
"Coleford BUASD",357777.26689835,210437.198647283,5676,4,"buasd"
"Coleorton BUASD",440359.241250066,317444.515853856,1652,1,"buasd"
"Collett's Green BUASD",382105.689076602,251055.197346834,1441,1,"buasd"
"Collingham BUASD",438459.778957632,445877.907963203,3024,2,"buasd"
"Colne BUASD",389185.526594628,440230.883275817,19481,13,"buasd"
"Colney Heath BUASD",520828.846824454,205859.273855041,1478,1,"buasd"
"Colwyn Bay BUASD",285093.696120492,378969.206247424,26646,17,"buasd"
"Colyton BUASD",324530.67782774,93548.5571980763,3165,2,"buasd"
"Combe St Nicholas BUASD",330138.573645703,111264.396695157,2334,1,"buasd"
"Congresbury BUASD",343982.468538043,163641.440020118,3497,2,"buasd"
"Connah's Quay BUASD",328881.13989671,369151.329850701,16774,11,"buasd"
"Consett BUASD",410646.807377361,551120.09730956,21757,12,"buasd"
"Cookham BUASD",488402.282817705,184979.971216126,5437,3,"buasd"
"Copmanthorpe BUASD",456637.987012401,446928.540265704,4173,3,"buasd"
"Coppull BUASD",356359.103118612,414196.070449153,7959,5,"buasd"
"Copthorne BUASD",531671.360259685,139186.721767322,5092,3,"buasd"
"Corby BUASD",487620.461787043,288308.779959572,54927,37,"buasd"
"Corsham BUASD",386224.063104631,169962.522430569,11799,6,"buasd"
"Cosby BUASD",454729.982916724,295215.59513678,3159,2,"buasd"
"Coseley BUASD",393827.016108717,293434.285152874,24114,16,"buasd"
"Costessey BUASD",617105.831109121,311682.006624799,2998,2,"buasd"
"Cottingham BUASD",504446.779093145,432751.041841633,14893,10,"buasd"
"Coventry BUASD",433604.363866086,279743.044522463,316248,194,"buasd"
"Cowes BUASD",449018.497376669,95193.6251253346,14398,9,"buasd"
"Craghead BUASD",421316.950823179,551004.218682083,1547,1,"buasd"
"Cramlington BUASD",426661.909785015,577124.689651023,26769,18,"buasd"
"Cranbrook BUASD",577555.790975327,135997.650146442,4131,3,"buasd"
"Cranleigh BUASD",506093.426026736,139257.543222794,10692,7,"buasd"
"Crawley BUASD",527003.339203995,136281.909988162,106597,66,"buasd"
"Crawley Down BUASD",534790.026157873,137757.360565233,5770,4,"buasd"
"Crewe BUASD",369796.115296547,355574.237191282,72717,47,"buasd"
"Crich BUASD",434863.873591517,354198.848142391,2401,2,"buasd"
"Cringleford BUASD",619753.885482943,305372.381842809,1335,1,"buasd"
"Crockenhill BUASD",550482.252211333,166919.557522072,1909,1,"buasd"
"Croeserw BUASD",286739.489414923,195283.512309308,1569,1,"buasd"
"Cromer BUASD",621991.404970034,341626.530363645,7683,6,"buasd"
"Cromford BUASD",429404.471896867,356715.353737673,1433,1,"buasd"
"Crosby BUASD",332276.906655783,399140.988325136,50307,35,"buasd"
"Cross Hills BUASD",400588.86107366,444579.649521664,7694,5,"buasd"
"Crowthorne BUASD",483613.480827203,164241.639485033,13505,8,"buasd"
"Croydon BUASD",532781.744972481,165355.19076483,345005,208,"buasd"
"Cudworth BUASD",439063.783344961,409497.463911812,12289,8,"buasd"
"Cullompton BUASD",301950.481093059,107306.747574503,7643,4,"buasd"
"Cwmbran BUASD",328723.436397547,195112.104909849,47053,31,"buasd"
"Cymmer BUASD",285858.139014105,196084.296277595,1256,1,"buasd"
"Danesfield BUASD",482063.651101276,185394.781037476,1523,1,"buasd"
"Darlaston BUASD",397703.498094904,296706.444056641,18732,11,"buasd"
"Dartmouth BUASD",287030.197626968,51385.6088251629,5605,4,"buasd"
"Darwen BUASD",369328.027943557,422286.435742353,28046,19,"buasd"
"Dedham BUASD",605957.529931212,232255.401027075,1549,1,"buasd"
"Deepcut BUASD",490805.061622742,157771.52185598,2477,1,"buasd"
"Deeside Industrial Park BUASD",333127.32730581,369031.447106058,2996,2,"buasd"
"Delph BUASD",398550.817809131,407834.597019522,2533,2,"buasd"
"Denby Bottles BUASD",437632.64141608,346493.437233628,1744,1,"buasd"
"Denton BUASD",392155.301665019,395015.819672072,37031,25,"buasd"
"Derby BUASD",435582.133345551,334939.83934725,254830,155,"buasd"
"Desford BUASD",447867.374570161,303295.597580947,3433,2,"buasd"
"Dewsbury BUASD",424268.857974663,421276.062645811,62764,38,"buasd"
"Didcot BUASD",452567.873129859,190054.607235726,26302,18,"buasd"
"Dinas Powis BUASD",315776.78181907,171259.665929021,7799,5,"buasd"
"Diss BUASD",611598.46919794,280012.710798812,10022,7,"buasd"
"Distington BUASD",300359.112264786,523325.755139687,1566,1,"buasd"
"Ditton BUASD",570620.655756355,158466.145257002,26667,16,"buasd"
"Dodworth BUASD",431859.242868714,405110.591588579,5900,4,"buasd"
"Doncaster BUASD",458390.941839728,402517.418079897,106562,67,"buasd"
"Dorking BUASD",516784.214601201,148818.608742723,15971,10,"buasd"
"Dormansland BUASD",540458.883714529,142339.796857844,2230,1,"buasd"
"Droitwich BUASD",389559.133209547,262731.429231146,22156,14,"buasd"
"Droylsden BUASD",390208.961015232,398802.632376086,24490,16,"buasd"
"Drybrook BUASD",364621.632217115,217679.333187465,1824,1,"buasd"
"Duckmanton BUASD",444216.380303763,372424.83671012,1368,1,"buasd"
"Dudley (Dudley) BUASD",394264.73822203,288663.860289521,76457,46,"buasd"
"Dudley (North Tyneside) BUASD",426442.156622198,573675.150841657,5980,4,"buasd"
"Duffield BUASD",434180.872830889,343366.511902678,5046,3,"buasd"
"Dukinfield BUASD",394891.652374372,397460.672695999,20648,14,"buasd"
"Dunholme BUASD",502267.234415219,379231.141988337,2464,1,"buasd"
"Dunscroft BUASD",465287.272185696,409224.54866388,13380,9,"buasd"
"Dunstable BUASD",501727.509025141,221581.128197581,29507,18,"buasd"
"Dursley BUASD",375208.139694798,199152.847987292,14859,10,"buasd"
"Dyserth BUASD",305757.966907574,379228.029378545,2781,2,"buasd"
"Ealing BUASD",515996.257053505,181406.771040811,338449,196,"buasd"
"Earl Shilton BUASD",445596.032212442,297383.813217717,19069,12,"buasd"
"Easebourne BUASD",489038.85437479,122722.928493809,1358,1,"buasd"
"East Cowes BUASD",450668.735533443,95153.6357062672,6720,4,"buasd"
"East Goscote BUASD",464113.490773503,313459.735972448,2866,2,"buasd"
"East Grinstead BUASD",539202.760965135,138453.606723887,30312,18,"buasd"
"East Keswick BUASD",436128.528169601,444430.268892083,1468,1,"buasd"
"East Morton BUASD",409859.856800309,441988.599130281,1671,1,"buasd"
"East Tilbury BUASD",568093.755655099,178828.039245936,4636,3,"buasd"
"East Wittering BUASD",480366.462746203,96844.7410448729,6453,4,"buasd"
"Eastbourne BUASD",561121.016981541,101138.698720539,108903,67,"buasd"
"Eastleigh BUASD",445199.780815399,119787.596831406,77581,48,"buasd"
"Eastwood BUASD",447289.942206989,346610.921911315,16888,11,"buasd"
"Ebbw Vale BUASD",316535.999094229,210760.833810747,17336,12,"buasd"
"Eccles BUASD",376442.889665864,398845.023658456,36229,24,"buasd"
"Eccleston BUASD",352021.244254446,416858.280652884,4503,3,"buasd"
"Eckington BUASD",442241.667726521,379000.293162839,5743,3,"buasd"
"Edenfield BUASD",379967.002908926,419075.327272603,2200,1,"buasd"
"Efail Isaf BUASD",308699.344282969,184556.090296589,1258,1,"buasd"
"Egham BUASD",500684.859842682,170928.62321183,24529,15,"buasd"
"Eldon Lane BUASD",422808.887698866,528047.307538907,1561,1,"buasd"
"Ellesmere Port BUASD",338808.256628954,375724.858186835,60466,42,"buasd"
"Ellington BUASD",427826.390574979,592072.889118864,2984,2,"buasd"
"Ellistown BUASD",443145.09883594,311138.717613819,1988,1,"buasd"
"Elsenham BUASD",553337.690107668,226612.632066268,1587,1,"buasd"
"Elstree BUASD",517641.566507319,195110.476010888,1717,1,"buasd"
"Elton BUASD",345831.653208668,375431.625178343,3023,2,"buasd"
"Enfield BUASD",533208.025521149,195142.983412172,305363,179,"buasd"
"Epsom BUASD",520826.625334165,160994.466132276,30206,18,"buasd"
"Esher BUASD",514789.019831713,166344.234804619,48271,29,"buasd"
"Eton BUASD",496653.317903835,177595.350511295,2748,1,"buasd"
"Euxton BUASD",355571.877036973,419071.15809821,8487,6,"buasd"
"Eversley Centre BUASD",478892.093808662,161564.678041689,1653,1,"buasd"
"Ewell BUASD",522414.13915382,160402.84950588,48249,30,"buasd"
"Exeter BUASD",292936.876025572,92605.8959261784,112387,70,"buasd"
"Exton BUASD",298681.06143901,85928.8177178913,1892,1,"buasd"
"Eye (City of Peterborough) BUASD",522526.284549342,302630.787777128,3737,2,"buasd"
"Eye (Mid Suffolk) BUASD",614512.148765354,274085.082109005,2154,1,"buasd"
"Failsworth BUASD",389774.537879614,401139.827872978,18771,13,"buasd"
"Fairfield BUASD",382268.276174234,279323.652464325,2087,1,"buasd"
"Fairford Airfield BUASD",415845.97057522,196992.771021861,1123,1,"buasd"
"Falmouth BUASD",179997.924757896,32514.2073811328,23283,15,"buasd"
"Farcet BUASD",520270.690336582,294714.608736803,1672,1,"buasd"
"Fareham BUASD",456791.380461224,106343.159598948,40114,27,"buasd"
"Farnborough BUASD",486508.774873149,155614.821445524,64666,42,"buasd"
"Farndon (Cheshire West and Chester) BUASD",341536.143431852,354514.975634933,2018,1,"buasd"
"Farndon (Newark and Sherwood) BUASD",477366.032833943,352137.679157294,2552,2,"buasd"
"Farnham BUASD",483758.774816674,145619.088747826,24907,17,"buasd"
"Farnworth BUASD",372869.291799034,405842.6514386,26584,17,"buasd"
"Fazeley BUASD",419699.621878971,302261.441882525,7637,5,"buasd"
"Felixstowe BUASD",629899.266800353,234965.202814585,23689,15,"buasd"
"Felsted BUASD",567757.790661889,220609.86024347,1884,1,"buasd"
"Fence Houses BUASD",431846.178961779,550117.343426253,8033,5,"buasd"
"Ferndown BUASD",407960.117558949,100788.505151493,27779,18,"buasd"
"Fernhill BUASD",303342.720421029,199301.989193844,1387,1,"buasd"
"Fernhurst BUASD",489550.344253797,128606.397889578,2084,1,"buasd"
"Filton BUASD",361381.022526874,180951.262768904,58846,35,"buasd"
"Finstock BUASD",436057.551677166,216465.349085093,1058,1,"buasd"
"Fishbourne BUASD",483581.145079293,105240.852474538,2325,1,"buasd"
"Fiskerton BUASD",473485.46097177,351291.974414433,1214,1,"buasd"
"Flax Bourton BUASD",350969.428762554,169363.434106196,1328,1,"buasd"
"Flint BUASD",324144.19565289,372650.173498476,14894,9,"buasd"
"Folkestone BUASD",621798.777029738,136550.180788549,51337,32,"buasd"
"Ford BUASD",499913.476800633,102638.227129323,1883,1,"buasd"
"Fordingbridge BUASD",414617.592023691,114589.09826226,5086,3,"buasd"
"Forest Row BUASD",542909.809642456,134658.150996619,3864,2,"buasd"
"Fornham St Martin BUASD",584705.49064022,267422.526744081,2030,1,"buasd"
"Four Marks BUASD",466828.780135185,134969.714484427,4642,3,"buasd"
"Fradley South BUASD",415634.80674117,312900.936454879,2818,1,"buasd"
"Frampton Cotterell/Winterbourne BUASD",366255.065931246,180961.16903255,14484,9,"buasd"
"Frimley BUASD",488617.020605116,157320.892882025,19884,13,"buasd"
"Frinton-on-Sea BUASD",623857.265406041,220236.269237562,5132,4,"buasd"
"Frogham BUASD",416890.741286346,112998.263616888,1364,1,"buasd"
"Fulwood BUASD",352709.49466198,432418.443973152,32556,22,"buasd"
"Furness Vale BUASD",400732.517596174,383314.797888711,1443,1,"buasd"
"Gaerwen BUASD",248328.287714369,371856.931962919,2016,1,"buasd"
"Gamesley BUASD",400955.01923475,394548.704276879,2531,2,"buasd"
"Garstang BUASD",349106.353816656,445482.760527312,8522,5,"buasd"
"Gateshead BUASD",426419.48312891,561149.351270214,119433,74,"buasd"
"Gatley BUASD",384889.12431159,386809.361190335,21984,14,"buasd"
"Gilfach Goch BUASD",298002.061982846,189314.927849654,2814,2,"buasd"
"Gillingham BUASD",579198.834624532,166830.874571267,102220,63,"buasd"
"Girton BUASD",542234.786321227,262044.183453483,2221,2,"buasd"
"Glapwell BUASD",447792.728579511,365870.256525091,1503,1,"buasd"
"Glossop BUASD",402298.5131348,394812.683259927,32590,21,"buasd"
"Gloucester BUASD",384208.999119049,216666.506754191,136586,86,"buasd"
"Glyn-neath BUASD",287943.736603151,206600.207824352,3430,2,"buasd"
"Godalming BUASD",497024.040200829,144311.411400122,19298,13,"buasd"
"Golborne BUASD",361732.868447852,397843.444820637,22343,14,"buasd"
"Goldsithney BUASD",154593.38217189,30611.7812168723,1994,1,"buasd"
"Goldthorpe BUASD",445982.099225488,404142.946590538,6240,4,"buasd"
"Goole BUASD",474657.964899526,424103.06277701,20810,12,"buasd"
"Goosnargh BUASD",355826.704964424,436565.355233257,1398,1,"buasd"
"Goring BUASD",460238.112557908,181205.174414255,3048,2,"buasd"
"Gorleston-on-Sea BUASD",652198.899923356,303671.696149758,24147,15,"buasd"
"Gorseinon BUASD",259318.496029492,198637.536296468,15276,10,"buasd"
"Gosport BUASD",459740.380633521,101014.744488305,70302,45,"buasd"
"Gowerton BUASD",259477.069716156,195888.586780834,8375,5,"buasd"
"Grain BUASD",588678.029471977,176448.980713671,1648,1,"buasd"
"Grantham BUASD",491461.314850782,336043.835809244,41613,26,"buasd"
"Grassington BUASD",400330.061037999,463927.046168393,1611,1,"buasd"
"Grassmoor BUASD",440439.495458301,367050.385747311,2449,2,"buasd"
"Gravesend BUASD",565569.896019608,172769.518177044,55321,34,"buasd"
"Grays BUASD",560629.689591844,178719.146173586,64532,38,"buasd"
"Grayshott BUASD",487648.707303506,136030.912143772,6705,5,"buasd"
"Great Abington BUASD",553222.442418348,248772.406252066,1155,1,"buasd"
"Great Blakenham BUASD",611902.951932386,250653.188672238,1235,1,"buasd"
"Great Doddington BUASD",487822.511074562,264881.542893237,1747,1,"buasd"
"Great Gonerby BUASD",489870.622389855,338285.259571651,2200,1,"buasd"
"Great Gransden BUASD",526718.030373115,255885.523319501,1748,1,"buasd"
"Great Harwood BUASD",373417.863596494,432347.521092369,10800,7,"buasd"
"Great Horkesley BUASD",597948.998485803,229238.296181476,1776,1,"buasd"
"Great Kingshill BUASD",487975.492030379,197808.009450641,1573,1,"buasd"
"Great Knowley BUASD",359561.382682522,419507.543059841,1025,1,"buasd"
"Great Notley BUASD",574123.532334857,221118.874375962,7451,4,"buasd"
"Great Preston BUASD",440149.243994199,429709.970407306,1463,1,"buasd"
"Great Wyrley BUASD",398586.200251504,306958.460487896,16279,11,"buasd"
"Great Yarmouth BUASD",652045.399512945,306806.690998415,39287,24,"buasd"
"Greenwich BUASD",543080.082274924,177347.58703454,260568,154,"buasd"
"Grimsargh BUASD",358601.427613858,434245.929305514,2543,1,"buasd"
"Grimsby BUASD",526238.338499602,408459.191979257,88243,58,"buasd"
"Groby BUASD",452490.664731023,307112.79661959,6796,4,"buasd"
"Gronant BUASD",309653.422908258,383124.5552013,1527,1,"buasd"
"Grove BUASD",369941.863327108,72328.301800661,1630,1,"buasd"
"Guildford BUASD",499573.480709527,150691.499136292,74881,43,"buasd"
"Guiseley BUASD",418675.068120143,442079.941799663,11991,7,"buasd"
"Gunnislake BUASD",242906.312909939,71350.5139549229,3033,2,"buasd"
"Gwaun-Cae-Gurwen BUASD",270380.52959429,211636.772261238,2910,2,"buasd"
"Gwernaffield-y-Waun BUASD",320217.394839601,364523.71252056,1942,1,"buasd"
"Hackney BUASD",534118.209106582,185447.283004335,246270,144,"buasd"
"Hale (Trafford) BUASD",378351.319060527,386475.276203126,15976,10,"buasd"
"Halesowen BUASD",396294.787233561,284225.252195767,57897,37,"buasd"
"Halifax BUASD",407889.121322332,425569.26361575,90667,57,"buasd"
"Hammersmith and Fulham BUASD",523804.315409049,178450.164354572,182493,113,"buasd"
"Hampton in Arden BUASD",420543.458765291,281023.536362732,1976,1,"buasd"
"Harden BUASD",408481.569625646,438262.483029614,1600,1,"buasd"
"Harefield BUASD",505424.887779409,190492.170193951,4562,3,"buasd"
"Haringey BUASD",531566.365788564,189628.981594694,254926,145,"buasd"
"Harlow BUASD",545503.24818611,209252.910484208,79430,53,"buasd"
"Harrogate BUASD",430649.346687267,455542.016063859,73548,50,"buasd"
"Harrow BUASD",515205.709814264,189317.027736613,239056,137,"buasd"
"Hartlepool BUASD",449992.439017369,532243.463743627,87835,56,"buasd"
"Hartley (Sevenoaks) BUASD",560884.57520314,167238.795955195,16572,11,"buasd"
"Hartley (Tunbridge Wells) BUASD",576257.964298596,135129.238267234,1294,1,"buasd"
"Harwich BUASD",624135.087739811,231041.489609058,21198,13,"buasd"
"Haslemere BUASD",489374.668404682,132783.061431984,11203,7,"buasd"
"Haslingden BUASD",378667.510194054,422503.322772308,14587,10,"buasd"
"Hastings BUASD",580789.527920805,110638.862430262,90254,53,"buasd"
"Hatfield BUASD",522058.835709676,208382.238272639,37842,21,"buasd"
"Hatfield Peverel BUASD",579278.080406278,211651.771544589,2914,2,"buasd"
"Hattersley BUASD",397992.455932172,394655.21393572,4534,3,"buasd"
"Hatton BUASD",421547.611742904,330208.483774191,2563,2,"buasd"
"Havant BUASD",471386.486003733,107619.869526715,44464,29,"buasd"
"Havering BUASD",552964.076430226,188181.508708162,234517,148,"buasd"
"Haworth BUASD",403837.446658808,437448.478582776,5194,3,"buasd"
"Haydock BUASD",355537.358487231,396968.793982684,14481,10,"buasd"
"Hazel Grove BUASD",392104.932153596,386538.184623952,19659,13,"buasd"
"Headley Down BUASD",483269.33550541,136341.389262992,5613,4,"buasd"
"Heage BUASD",437171.519914903,350164.76101189,3087,2,"buasd"
"Heanor BUASD",443578.370991027,346703.668332316,24455,15,"buasd"
"Heathfield BUASD",558214.557617224,121002.352141077,7772,5,"buasd"
"Hebburn BUASD",431234.649168534,564288.506215387,20567,14,"buasd"
"Heckmondwike BUASD",421977.44204014,423869.398705344,11399,7,"buasd"
"Hedge End BUASD",449434.3584276,113438.959847963,25873,16,"buasd"
"Hedon BUASD",519107.31103337,428458.431900216,6903,4,"buasd"
"Hellaby BUASD",450290.385071338,391949.42893711,1437,1,"buasd"
"Helston BUASD",166239.0418507,27813.8346347391,11682,7,"buasd"
"Hemel Hempstead BUASD",506179.039305275,207044.233158416,93505,59,"buasd"
"Hemingbrough BUASD",467587.889969455,430597.366266072,1998,1,"buasd"
"Hemingford Grey BUASD",529503.320602955,270533.881362346,2827,2,"buasd"
"Hendreforgan BUASD",298344.680088972,188265.034959568,1727,1,"buasd"
"Henlow BUASD",517717.709992285,238234.680925322,1852,1,"buasd"
"Herne Bay BUASD",617918.682732351,167431.996912412,38563,23,"buasd"
"Hersden BUASD",620310.671323657,162164.090152182,2054,1,"buasd"
"Hertford BUASD",532551.247392567,212909.370250186,26783,17,"buasd"
"Hessle BUASD",503301.089731844,426692.69989949,15000,10,"buasd"
"Hetton-le-Hole BUASD",435519.377295952,547000.008195258,12254,8,"buasd"
"Hextable BUASD",551874.769349736,170356.698847459,4092,3,"buasd"
"Heysham BUASD",341837.710296767,461885.909713483,14495,9,"buasd"
"Heywood BUASD",385168.826452767,410490.344052894,29070,19,"buasd"
"High Lane BUASD",395442.910905909,385437.832994189,4196,3,"buasd"
"High Wycombe BUASD",487569.061671871,192872.758002136,118208,73,"buasd"
"Higham BUASD",570982.559876297,171264.822469285,2440,2,"buasd"
"Higham Ferrers BUASD",495908.824920762,268902.909668808,8649,5,"buasd"
"Hill Dale BUASD",349364.182550905,412173.144859735,1147,1,"buasd"
"Hillingdon BUASD",508648.462253198,183084.074984984,279242,164,"buasd"
"Hindley BUASD",362773.516488804,403975.038204937,24893,15,"buasd"
"Hipsburn BUASD",423469.968536859,611186.985130356,1719,1,"buasd"
"Hirwaun Industrial Estate BUASD",292850.10119868,206426.68272842,1700,1,"buasd"
"Histon BUASD",543987.114092639,263490.694155722,7553,5,"buasd"
"Hitchin BUASD",518928.279129197,229493.906441704,34778,22,"buasd"
"Hoddesdon BUASD",537232.806088331,207828.353364286,41483,25,"buasd"
"Holcombe BUASD",295439.939702794,75192.7549251905,1726,1,"buasd"
"Holme-on-Spalding-Moor BUASD",480397.610321848,438215.774844701,1832,1,"buasd"
"Holmfirth BUASD",414156.892107843,409572.563954855,18968,12,"buasd"
"Holt BUASD",340959.533134775,353838.236630742,1113,1,"buasd"
"Holywell BUASD",318200.227869487,376457.241695604,9973,5,"buasd"
"Hope BUASD",330767.758081428,357967.374924233,4224,3,"buasd"
"Horam BUASD",557973.930598654,117378.068932037,2642,2,"buasd"
"Horbury BUASD",429548.981754039,418348.255438276,9294,6,"buasd"
"Horley BUASD",528358.147372826,143412.63894246,22076,14,"buasd"
"Horndean BUASD",469177.204403272,111951.374572659,42870,28,"buasd"
"Horsforth BUASD",423964.593389151,438057.772387797,18533,12,"buasd"
"Horsham BUASD",518058.312507709,131545.136291504,48212,30,"buasd"
"Horsham St Faith BUASD",621955.503042602,315505.757924529,1724,1,"buasd"
"Horspath BUASD",457413.735250211,204884.533343035,1378,1,"buasd"
"Horwich BUASD",364135.62925535,411095.215289895,19512,13,"buasd"
"Houghton-le-Spring BUASD",433970.028508673,550135.758465794,13666,10,"buasd"
"Houghton BUASD",341043.020442847,559188.660604255,3079,2,"buasd"
"Houghton Regis BUASD",502468.11472901,224258.444343253,13363,8,"buasd"
"Hounslow BUASD",514054.874757366,175826.613388869,250844,140,"buasd"
"How Wood BUASD",513675.635412766,203998.886326086,5758,4,"buasd"
"Hoylake BUASD",322381.136297845,389532.956804915,10909,7,"buasd"
"Hoyland BUASD",437216.996647112,400600.72649255,17465,11,"buasd"
"Hucknall BUASD",453022.7671163,348823.829987456,30084,19,"buasd"
"Huddersfield BUASD",413857.211933536,416673.346395442,163627,99,"buasd"
"Hughenden Valley BUASD",486249.338979525,197218.069828572,2576,2,"buasd"
"Hullbridge BUASD",581061.519225374,194661.499927659,4948,3,"buasd"
"Hunger Hill BUASD",368157.742313328,406985.928761243,1539,1,"buasd"
"Hunstanton BUASD",567526.262481851,338888.072773517,8761,6,"buasd"
"Hutton BUASD",349654.044863232,426415.589995358,3053,2,"buasd"
"Hutton Rudby BUASD",446717.741094744,506233.358151331,2421,1,"buasd"
"Hyde (Tameside) BUASD",395342.635436641,394997.410388275,34141,21,"buasd"
"Hythe BUASD",616024.888462488,134681.826422017,14516,10,"buasd"
"Ickleford BUASD",518091.153719467,231696.101888579,2194,1,"buasd"
"Ilkeston BUASD",446389.764704896,341911.137581353,38640,26,"buasd"
"Immingham BUASD",517761.595516448,414862.088833118,10635,7,"buasd"
"Ince-in-Makerfield BUASD",359825.726149212,404953.458200579,11897,7,"buasd"
"Ingatestone BUASD",564484.562931888,199148.788696445,5966,4,"buasd"
"Ingleby Barwick BUASD",444323.106590437,513844.324273544,21045,13,"buasd"
"Innsworth BUASD",387295.418978545,220748.03998679,13877,9,"buasd"
"Ipswich BUASD",616634.449947963,244321.634968819,144126,92,"buasd"
"Irlam BUASD",371809.69633853,393943.598583525,20067,13,"buasd"
"Ironville BUASD",443645.741566606,351523.639438361,1537,1,"buasd"
"Islington BUASD",531144.963649013,185031.129965768,206125,123,"buasd"
"Islip BUASD",498674.634942757,279376.531958187,1869,1,"buasd"
"Itchen Abbas BUASD",453057.485056267,132798.584554463,1896,1,"buasd"
"Iver Heath BUASD",502963.436975308,182392.149139183,8249,5,"buasd"
"Jacksdale BUASD",444899.422991891,351684.916675564,3158,2,"buasd"
"Jarrow BUASD",434070.548139319,562997.998064905,42694,30,"buasd"
"Keadby BUASD",483494.895317039,410951.472314683,1488,1,"buasd"
"Kearsley BUASD",375291.851970727,405100.183713297,12533,8,"buasd"
"Keighley BUASD",405748.034625897,440944.165713302,50835,31,"buasd"
"Kelly Bray BUASD",235999.178664729,70949.4246293308,2016,1,"buasd"
"Kelsall BUASD",352763.936266537,368271.680337498,1927,1,"buasd"
"Kelvedon BUASD",586422.891764711,219025.213487423,5148,3,"buasd"
"Kempston BUASD",503270.20795253,247651.106976263,19330,13,"buasd"
"Kendal BUASD",351868.074641192,492311.053160696,28586,14,"buasd"
"Kennington BUASD",452204.908904419,202219.288505786,3186,2,"buasd"
"Kensington and Chelsea BUASD",525532.042167783,179540.129988085,158649,103,"buasd"
"Kesgrave BUASD",622593.256328891,245298.779249058,18979,11,"buasd"
"Kettering BUASD",487466.742547586,278576.13750206,56226,34,"buasd"
"Kibworth Harcourt BUASD",468063.150378199,293861.334069758,5441,3,"buasd"
"Kidderminster BUASD",383087.17990445,276458.547113894,55098,37,"buasd"
"Kidlington BUASD",449278.180252256,213728.49031489,15332,11,"buasd"
"Kidsgrove BUASD",383983.661193548,354614.142292331,23574,17,"buasd"
"Kilburn BUASD",438411.156637169,345610.112715381,2700,2,"buasd"
"Killamarsh BUASD",445628.389774507,380690.370072468,9445,7,"buasd"
"Kimberley BUASD",450101.501561197,344980.798867081,10214,7,"buasd"
"Kingsnorth (Ashford) BUASD",601262.396208511,139538.700730889,2985,2,"buasd"
"Kingsteignton BUASD",287134.391444121,73693.8592098087,11147,8,"buasd"
"Kingston upon Hull BUASD",508955.77756546,430961.361233686,281435,183,"buasd"
"Kingston upon Thames BUASD",519298.563053454,167684.134583204,164835,101,"buasd"
"Kingswinford BUASD",389239.245710805,288164.005169918,50404,34,"buasd"
"Kinmel Bay BUASD",298211.86337154,379549.353727982,9791,6,"buasd"
"Kippax BUASD",441449.011812797,430549.578121858,9785,7,"buasd"
"Kirkby-in-Ashfield BUASD",450223.573377835,355687.388937067,27781,17,"buasd"
"Kirkham BUASD",342095.412160422,432496.396387339,8945,6,"buasd"
"Kiveton Park BUASD",448494.429366377,382943.459972948,6582,4,"buasd"
"Knaresborough BUASD",435279.55137457,457215.353074057,15674,9,"buasd"
"Knockholt Pound BUASD",548272.017019837,159770.040389083,1922,1,"buasd"
"Knottingley BUASD",449124.185117728,423735.535136878,10804,7,"buasd"
"Lambeth BUASD",530781.774689054,174582.666482783,303086,178,"buasd"
"Lancaster BUASD",347736.686958492,461571.286237557,46927,32,"buasd"
"Lane End BUASD",480986.823719568,191964.904847121,2851,2,"buasd"
"Langley Heath BUASD",581221.499501665,151541.243477398,1564,1,"buasd"
"Lanner BUASD",171642.89731084,40112.7496767059,2701,2,"buasd"
"Launceston BUASD",232905.53913012,84775.2056502127,6228,4,"buasd"
"Launton BUASD",460857.789408894,222545.347318041,1521,1,"buasd"
"Leadgate BUASD",412538.193960099,551850.497615485,4504,3,"buasd"
"Leatherhead BUASD",514725.310465984,155704.896036124,33398,22,"buasd"
"Leeds BUASD",429902.150969735,434966.280385107,472093,300,"buasd"
"Leek BUASD",398470.186286859,356560.227442808,18603,12,"buasd"
"Leeming BUASD",431433.677641697,488475.128265834,2301,1,"buasd"
"Lees BUASD",395842.379090731,404841.904622222,13703,9,"buasd"
"Leicester BUASD",459283.959818528,303749.915385067,437151,261,"buasd"
"Leiston BUASD",644544.506358103,262522.776905355,4911,3,"buasd"
"Letchworth Garden City BUASD",521992.859949939,232697.371861073,33249,23,"buasd"
"Leverington BUASD",544252.765895988,311538.87700543,1763,1,"buasd"
"Lewisham BUASD",537487.160951157,174247.393894622,275885,169,"buasd"
"Leyland BUASD",353798.399416791,422291.362123614,40123,24,"buasd"
"Leysdown-on-Sea BUASD",602342.081189254,170747.153323251,1678,1,"buasd"
"Lincoln BUASD",496756.439487115,370339.659992738,99663,61,"buasd"
"Linford BUASD",567150.644268609,179343.153336462,1728,1,"buasd"
"Lingfield BUASD",538781.381442946,143763.712971952,2808,2,"buasd"
"Lingwood BUASD",636187.988313766,308353.343128113,2643,2,"buasd"
"Linton BUASD",427664.467901844,316530.221947489,1639,1,"buasd"
"Litherland BUASD",333943.252204434,397910.539821275,16764,11,"buasd"
"Little Clacton BUASD",616454.793234826,219210.861266924,3161,2,"buasd"
"Little Eaton BUASD",436306.459729462,341921.534799994,1821,1,"buasd"
