"","zone","year","country","la","ttwa","pop","inc.n","noninc.n","dist_main","dist_nearest","crime","live.in","geo","pm25","work","area"
"1","S01006506",2016,"Scotland","Aberdeen City","Aberdeen",904,60,844,12211.8130035989,12211.8130035989,5519,3248,5065,5792,570.987831809237,4388802.12219707
"2","S01006507",2016,"Scotland","Aberdeen City","Aberdeen",830,60,770,11988.283551465,11988.283551465,6310,3486,2222,6045,554.326645121474,221746.838685559
"3","S01006508",2016,"Scotland","Aberdeen City","Aberdeen",694,30,664,12330.6520800866,12330.6520800866,6134,5342,3596,5753.5,549.017196472342,270194.753307431
"4","S01006509",2016,"Scotland","Aberdeen City","Aberdeen",573,30,543,11902.8537214524,11902.8537214524,6935,4395,4553,5753.5,629.290341938848,96254.2578404963
"5","S01006510",2016,"Scotland","Aberdeen City","Aberdeen",676,70,606,11707.1130345428,11707.1130345428,3906,3736,5681,5955.5,644.28494228632,180076.576244514
"6","S01006511",2016,"Scotland","Aberdeen City","Aberdeen",781,25,756,11421.453919382,11421.453919382,6486,5924,5893,5955.5,609.411602778328,400488.035797629
"7","S01006512",2016,"Scotland","Aberdeen City","Aberdeen",528,10,518,12819.6857850577,12819.6857850577,6497,4814,534,5839,401.204206511808,13996149.9026558
"8","S01006513",2016,"Scotland","Aberdeen City","Aberdeen",697,20,677,9467.90241390633,9467.90241390633,6824,6394,1419,5782,631.907871815182,300877.295984519
"9","S01006514",2016,"Scotland","Aberdeen City","Aberdeen",1131,15,1116,10128.0236138386,10128.0236138386,6396,6868,2016,5615,578.626508113767,1877298.2565501
"10","S01006515",2016,"Scotland","Aberdeen City","Aberdeen",791,10,781,9564.89925572601,9564.89925572601,6269,6175,655,5978,570.149009715111,5542698.36436762
"11","S01006516",2016,"Scotland","Aberdeen City","Aberdeen",572,15,557,9131.01569178045,9131.01569178045,5545,6570,1233,5842,614.790073791736,1593427.88886223
"12","S01006517",2016,"Scotland","Aberdeen City","Aberdeen",1038,25,1013,6438.6549292552,6438.6549292552,4285,5892,1075,6174,1768.32760696649,10444535.3152058
"13","S01006518",2016,"Scotland","Aberdeen City","Aberdeen",671,10,661,7617.70147047878,7617.70147047878,6638,6960,1074,5693.5,1091.29969351709,519229.291154649
"14","S01006519",2016,"Scotland","Aberdeen City","Aberdeen",904,15,889,7213.7941834994,7213.7941834994,6874,6856,918,5654.5,1317.27827996852,304024.320496031
"15","S01006520",2016,"Scotland","Aberdeen City","Aberdeen",783,5,778,7727.44178793271,7727.44178793271,6692,6825,625,5693.5,965.993899986061,200643.601781468
"16","S01006521",2016,"Scotland","Aberdeen City","Aberdeen",772,5,767,5042.53534589687,5042.53534589687,5469,6869,842,5307,3835.21462593837,1473823.0903581
"17","S01006522",2016,"Scotland","Aberdeen City","Aberdeen",628,5,623,5744.60232500653,5744.60232500653,6805,6841,1420,5022.5,2569.27525437412,378701.906320956
"18","S01006523",2016,"Scotland","Aberdeen City","Aberdeen",942,30,912,5938.53134536807,5938.53134536807,5376,6581,2236,5022.5,2363.06429942616,287540.2256971
"19","S01006524",2016,"Scotland","Aberdeen City","Aberdeen",1017,100,917,6452.45601380655,6452.45601380655,5709,6240,2037,5531,1876.12382249081,1751712.99144855
"20","S01006525",2016,"Scotland","Aberdeen City","Aberdeen",849,25,824,6935.50348333274,6935.50348333274,6861,6260,2176,5654.5,1559.2949502945,359442.858611477
"21","S01006526",2016,"Scotland","Aberdeen City","Aberdeen",906,100,806,4300.85247908333,4300.85247908333,5075,1454,1466,4146,6021.9413172374,111930.692255358
"22","S01006527",2016,"Scotland","Aberdeen City","Aberdeen",669,95,574,4239.97682423555,4239.97682423555,2175,3235,2923,4146,6443.57567720315,156239.492679507
"23","S01006528",2016,"Scotland","Aberdeen City","Aberdeen",1056,95,961,3934.93050023119,3934.93050023119,2994,1723,3731,4146,7071.3534679499,461299.018110353
"24","S01006529",2016,"Scotland","Aberdeen City","Aberdeen",889,80,809,3131.864492319,3131.864492319,1722,945,5074,4041.5,9662.56748219722,464280.511191899
"25","S01006530",2016,"Scotland","Aberdeen City","Aberdeen",794,100,694,3502.28122024465,3502.28122024465,2548,1627,5369,4041.5,8156.26849175218,130042.084337521
"26","S01006531",2016,"Scotland","Aberdeen City","Aberdeen",975,140,835,3796.02390393252,3796.02390393252,1802,1122,4672,4146,7368.05852101551,169925.255217127
"27","S01006532",2016,"Scotland","Aberdeen City","Aberdeen",804,30,774,2735.82471349809,2735.82471349809,2711,6110,3906,3149.5,11616.883172734,172840.101758924
"28","S01006533",2016,"Scotland","Aberdeen City","Aberdeen",772,10,762,3082.87524822319,3082.87524822319,5469,6946,3401,3149.5,10191.0563212633,172399.828514383
"29","S01006534",2016,"Scotland","Aberdeen City","Aberdeen",975,15,960,2561.47860543814,2561.47860543814,4828,6168,3725,3149.5,13152.8112581858,192329.082598511
"30","S01006535",2016,"Scotland","Aberdeen City","Aberdeen",1035,30,1005,2282.45018008088,2282.45018008088,4601,2839,5470,3149.5,14747.5857256602,146057.619482889
"31","S01006536",2016,"Scotland","Aberdeen City","Aberdeen",1071,20,1051,1939.18087312103,1939.18087312103,2928,1197,6045,3230,18122.3635251019,154094.295618344
"32","S01006537",2016,"Scotland","Aberdeen City","Aberdeen",916,20,896,4079.5072932918,4079.5072932918,6585,6398,1721,4201,6356.32681698287,265005.880724593
"33","S01006538",2016,"Scotland","Aberdeen City","Aberdeen",594,15,579,4076.93829189649,4076.93829189649,6569,6462,1188,4146,6441.68608668566,159175.661889563
"34","S01006539",2016,"Scotland","Aberdeen City","Aberdeen",777,10,767,3135.73447987205,3135.73447987205,5483,6328,2783,3149.5,9774.37488759536,145485.559539405
"35","S01006540",2016,"Scotland","Aberdeen City","Aberdeen",946,25,921,3542.26433866293,3542.26433866293,4382,4761,1783,4201,8151.70272356723,306341.723054287
"36","S01006541",2016,"Scotland","Aberdeen City","Aberdeen",826,25,801,3784.83103994147,3784.83103994147,6523,6619,3609,4201,7415.53832218193,232137.475706117
"37","S01006542",2016,"Scotland","Aberdeen City","Aberdeen",991,10,981,4338.47578037483,4338.47578037483,5877,6239,2607,4980.5,6014.09641826979,468591.301818836
"38","S01006543",2016,"Scotland","Aberdeen City","Aberdeen",812,30,782,4315.33777120286,4315.33777120286,5803,6900,2348,4980.5,5664.5485375897,204600.966303012
"39","S01006544",2016,"Scotland","Aberdeen City","Aberdeen",1176,25,1151,3328.02573452875,3328.02573452875,3655,3380,4025,3934,10625.0230134456,325850.988715992
"40","S01006545",2016,"Scotland","Aberdeen City","Aberdeen",1071,40,1031,3232.10343831012,3232.10343831012,4688,4757,5222,4201,9844.65937719745,256674.418348498
"41","S01006546",2016,"Scotland","Aberdeen City","Aberdeen",638,15,623,3721.96048854669,3721.96048854669,5715,6799,6014,4201,8216.86851931845,160504.474995888
"42","S01006547",2016,"Scotland","Aberdeen City","Aberdeen",929,80,849,4967.01579170921,4967.01579170921,1499,4090,680,5969,4756.51795065122,7244209.74062478
"43","S01006548",2016,"Scotland","Aberdeen City","Aberdeen",697,5,692,4418.56760155306,4418.56760155306,5569,6499,1239,4559,5838.54034762804,169895.748045679
"44","S01006549",2016,"Scotland","Aberdeen City","Aberdeen",836,5,831,3789.23409283597,3789.23409283597,4896,6004,2183,4559,9478.32350477064,424433.525488217
"45","S01006550",2016,"Scotland","Aberdeen City","Aberdeen",941,5,936,4204.01510783869,4204.01510783869,6740,6585,2448,4559,6845.43030886635,325831.27944735
"46","S01006551",2016,"Scotland","Aberdeen City","Aberdeen",693,105,588,4740.67893139439,4740.67893139439,2414,1502,1986,5717,5521.77569191899,628278.726535092
"47","S01006552",2016,"Scotland","Aberdeen City","Aberdeen",864,30,834,4412.7244252019,4412.7244252019,4975,6637,1485,4079,7250.95266107341,205535.332909446
"48","S01006553",2016,"Scotland","Aberdeen City","Aberdeen",866,55,811,3825.56118391611,3825.56118391611,3468,4628,3626,4079,9652.72536907449,283414.357841459
"49","S01006554",2016,"Scotland","Aberdeen City","Aberdeen",799,55,744,3613.54636731778,3613.54636731778,2095,2235,4495,4079,10996.5606488668,222876.60370658
"50","S01006555",2016,"Scotland","Aberdeen City","Aberdeen",785,130,655,4542.22010898645,4542.22010898645,565,1067,2587,5087.5,6949.06457827478,314180.861764811
"51","S01006556",2016,"Scotland","Aberdeen City","Aberdeen",815,105,710,4097.84389412379,4097.84389412379,3147,1660,4873,4079,8724.25247846066,227432.388441047
"52","S01006557",2016,"Scotland","Aberdeen City","Aberdeen",707,110,597,5058.41447443241,5058.41447443241,1461,2323,2171,5087.5,4859.88912038034,83772.8873505244
"53","S01006558",2016,"Scotland","Aberdeen City","Aberdeen",620,15,605,1954.81427053666,1954.81427053666,1867,2751,3994,3029,20796.3705048152,152910.433333217
"54","S01006559",2016,"Scotland","Aberdeen City","Aberdeen",618,15,603,2124.32330134994,2124.32330134994,4416,5199,5592,3029,19467.5181852384,112979.406447798
"55","S01006560",2016,"Scotland","Aberdeen City","Aberdeen",984,35,949,2374.72244590012,2374.72244590012,5049,5876,5128,3029,17658.6345948917,179176.602712608
