"","Data.Zone","Local.Authority.Code","Local.Authority.Name","Total.Population..2001.Census.","Working.Age.Population..men.16.64..women.16.59..2001.Census.","SIMD.Score","SIMD.Rank","Current.Income.domain.score","Number.of.Current.Income.Deprived","Current.Income.domain.rank","Employment.domain.score","Number.of.Employment.Deprived","Employment.domain.rank","Health.domain.score","Health.domain.rank","Education..Skills.and.Training.domain.score","Education..Skills.and.Training.domain.rank","Housing.domain.score","Housing.domain.rank","Geographic.Access.and.Telecommunications.domain.score","Geographic.Access.and.Telecommunications.domain.rank","zone","X.x","accessA","accessB","type.x","X.y","type.y","area","zone_type","ttwa11cd","ttwa11nm","main_dist","main_bua","nearest_dist","nearest_bua","type","year2004","year2006","year2007","year2009","year2010","year2012","year2015","year2016","year","country","la","ttwa","pop","inc.n","noninc.n","dist_main","dist_nearest","crime","live.in","geo","pm25","work"
"11","S01000011",100,"Aberdeen City",918,570,4.13,6162,1.7,16,6163.5,2.1,12,6394,-0.97,5814,-1.35,6125,3.76,6142,0.51,1431,"S01000011",11,158421,539.77356339689,"",69142,"dz01",1212021.58730901,"dz01","S22000047","Aberdeen",10105.9766342422,"Aberdeen",10105.9766342422,"Aberdeen","dz01",7.1453595,5.7183055,4.302674,6.1722155,7.2998085,7.8120865,5.921157,5.3281495,2004,"Scotland","Aberdeen City","Aberdeen",918,16,902,10105.9766342422,10105.9766342422,NA,6142,1431,5312,539.77356339689
"12","S01000012",100,"Aberdeen City",874,594,7.06,5372,2.7,24,5784.5,4.7,28,5640.5,-0.51,4667,-0.4,4304,5.5,5802,0.45,1574,"S01000012",12,150229,1697.20823545445,"",69143,"dz01",5462980.31614032,"dz01","S22000047","Aberdeen",5860.52201753398,"Aberdeen",5860.52201753398,"Aberdeen","dz01",8.7949035,6.91443225,5.0042535,7.25361525,8.54988225,8.43385075,6.4307465,5.70306875,2004,"Scotland","Aberdeen City","Aberdeen",874,24,850,5860.52201753398,5860.52201753398,NA,5802,1574,3018,1697.20823545445
"13","S01000013",100,"Aberdeen City",898,545,9.29,4838,5.8,52,4783,5,27,5544.5,-0.57,4845,-0.21,3787,14.14,3715,0.47,1515,"S01000013",13,157393,402.991013598094,"",69144,"dz01",232438.775927665,"dz01","S22000047","Aberdeen",12116.7181891127,"Aberdeen",12116.7181891127,"Aberdeen","dz01",7.068956,5.620762,4.214576,5.826189,6.911732,7.177581,5.56526,5.08203,2004,"Scotland","Aberdeen City","Aberdeen",898,52,846,12116.7181891127,12116.7181891127,NA,3715,1515,5398,402.991013598094
"14","S01000014",100,"Aberdeen City",919,637,8.43,5035,4.1,38,5285,5.5,35,5338,-0.44,4467,-0.18,3713,12.4,4224,0.28,2084,"S01000014",14,150002,2567.01384827583,"",69145,"dz01",951645.88170517,"dz01","S22000047","Aberdeen",5216.11343615628,"Aberdeen",5216.11343615628,"Aberdeen","dz01",8.517591,6.6864,5.064367,6.770051,8.114148,7.766933,6.06753,5.593968,2004,"Scotland","Aberdeen City","Aberdeen",919,38,881,5216.11343615628,5216.11343615628,NA,4224,2084,3477,2567.01384827583
"15","S01000015",100,"Aberdeen City",655,495,5.68,5766,1.7,11,6182,3.2,16,6148.5,-1.36,6304,0.06,3040,15.57,3330,0.07,2804,"S01000015",15,150168,3758.00819406754,"",69146,"dz01",87222.1127074659,"dz01","S22000047","Aberdeen",4829.80680829024,"Aberdeen",4829.80680829024,"Aberdeen","dz01",8.895201,6.963448,5.456448,7.453763,8.883577,8.491634,6.387243,5.921302,2004,"Scotland","Aberdeen City","Aberdeen",655,11,644,4829.80680829024,4829.80680829024,NA,3330,2804,2859,3758.00819406754
"16","S01000016",100,"Aberdeen City",564,354,5.13,5923,1.1,6,6361.5,NA,NA,6498,-0.91,5693,-1.33,6110,8.39,5267,0.85,819,"S01000016",16,158020,598.687548265823,"",69147,"dz01",2103726.29759622,"dz01","S22000047","Aberdeen",8926.01581275891,"Aberdeen",8926.01581275891,"Aberdeen","dz01",7.217839,5.78220666666667,4.323037,6.101828,7.21848366666667,7.60590666666667,5.70046133333333,5.21417533333333,2004,"Scotland","Aberdeen City","Aberdeen",564,6,558,8926.01581275891,8926.01581275891,NA,5267,819,5210,598.687548265823
"17","S01000017",100,"Aberdeen City",937,649,7.13,5353,4.5,42,5172,4.5,29,5731,-0.51,4657,-0.16,3649,10.89,4641,0,3082,"S01000017",17,150168,3670.41359410867,"",69148,"dz01",208357.723185087,"dz01","S22000047","Aberdeen",4814.84526374984,"Aberdeen",4814.84526374984,"Aberdeen","dz01",8.517591,6.6864,5.064367,6.770051,8.114148,7.766933,6.06753,5.593968,2004,"Scotland","Aberdeen City","Aberdeen",937,42,895,4814.84526374984,4814.84526374984,NA,4641,3082,3477,3670.41359410867
"18","S01000018",100,"Aberdeen City",577,444,9.45,4795,2.8,16,5766,6.8,30,4837.5,-0.32,4125,0.27,2547,14.04,3744,0.06,2843,"S01000018",18,150200,4378.53470141291,"",69149,"dz01",82879.0005000026,"dz01","S22000047","Aberdeen",4612.33992665297,"Aberdeen",4612.33992665297,"Aberdeen","dz01",8.895201,6.963448,5.456448,7.453763,8.883577,8.491634,6.387243,5.921302,2004,"Scotland","Aberdeen City","Aberdeen",577,16,561,4612.33992665297,4612.33992665297,NA,3744,2843,2859,4378.53470141291
"19","S01000019",100,"Aberdeen City",588,336,4.53,6076,0.9,5,6421,2.7,9,6278,-0.61,4944,-1.27,6051,1.87,6401,0.52,1398,"S01000019",19,158175,575.19943293832,"",69150,"dz01",327391.532311052,"dz01","S22000047","Aberdeen",9467.09318490803,"Aberdeen",9467.09318490803,"Aberdeen","dz01",7.189139,5.767532,4.357941,6.155177,7.291564,7.607263,5.678431,5.24046,2004,"Scotland","Aberdeen City","Aberdeen",588,5,583,9467.09318490803,9467.09318490803,NA,6401,1398,5256,575.19943293832
"20","S01000020",100,"Aberdeen City",877,463,16.21,3395,12.5,110,3039,18.1,84,1832,-0.37,4257,-1.26,6027,9.32,5052,-0.18,3758,"S01000020",20,157870,1574.57308385628,"",69151,"dz01",1689583.51615792,"dz01","S22000047","Aberdeen",6489.23937139381,"Aberdeen",6489.23937139381,"Aberdeen","dz01",7.4557245,5.908437,4.4702585,6.2905995,7.496615,7.637162,5.8869175,5.3850295,2004,"Scotland","Aberdeen City","Aberdeen",877,110,767,6489.23937139381,6489.23937139381,NA,5052,3758,4802,1574.57308385628
