"","year","country","la","ttwa","pop","inc.n","noninc.n","dist_main","dist_nearest","crime","live.in","geo","pm25","work"
"3448",2012,"Scotland","Glasgow City","Glasgow",677,165,512,3696.80167645643,3696.80167645643,4172,746,5645,62.5,7131.94641872571
"3449",2012,"Scotland","Glasgow City","Glasgow",743,115,628,1273.59427928696,1273.59427928696,1458,104,5943,21.5,51660.2155781159
"3450",2012,"Scotland","Glasgow City","Glasgow",776,200,576,2754.5194983971,2754.5194983971,1937,180,6272,503.5,29997.9001748741
"3451",2012,"Scotland","Glasgow City","Glasgow",892,130,762,3889.24886654033,3889.24886654033,1892,686,6411,271,19530.0264471214
"3452",2012,"Scotland","Glasgow City","Glasgow",1396,90,1306,4287.10075555886,4287.10075555886,264,2174,3150,69.5,5909.98650239839
"3453",2012,"Scotland","Glasgow City","Glasgow",1340,90,1250,1850.03776327166,1850.03776327166,2642,519,5991,223,42727.6512433439
"3454",2012,"Scotland","Glasgow City","Glasgow",613,125,488,1636.62544765002,1636.62544765002,199,283,6396,223,45864.2558581184
"3455",2012,"Scotland","Glasgow City","Glasgow",712,350,362,6428.49676869109,6428.49676869109,1839,218,4900,192.5,3322.33456382798
"3456",2012,"Scotland","Glasgow City","Glasgow",393,150,243,9198.70103343615,9198.70103343615,760,21,2524,2579.5,1897.61888381948
"3457",2012,"Scotland","Glasgow City","Glasgow",1264,365,899,1765.36944121356,1765.36944121356,535,301,5902,87,21850.0944589629
"3458",2012,"Scotland","Glasgow City","Glasgow",1154,250,904,2590.88915784299,2590.88915784299,2638,720,4005,212.5,12770.2465188892
"3459",2012,"Scotland","Glasgow City","Glasgow",875,260,615,5671.68525601922,5671.68525601922,675,252,4598,327.5,3590.80096234759
"3460",2012,"Scotland","Glasgow City","Glasgow",1096,90,1006,3248.94799641324,3248.94799641324,255,318,4219,346,25936.0940052732
"3461",2012,"Scotland","Glasgow City","Glasgow",752,165,587,3925.95195470868,3925.95195470868,4401,1424,3838,62.5,6343.22522112224
"3462",2012,"Scotland","Glasgow City","Glasgow",534,220,314,7916.2866428999,7916.2866428999,966,502,4084,2414.5,2446.28265823519
"3463",2012,"Scotland","Glasgow City","Glasgow",1142,280,862,1395.26916674647,1395.26916674647,1267,340,5632,87,28474.9802001672
"3464",2012,"Scotland","Glasgow City","Glasgow",893,125,768,1724.00634273803,1724.00634273803,1179,222,6392,21.5,42614.4919703563
"3465",2012,"Scotland","Glasgow City","Glasgow",1848,190,1658,4581.66783118936,4581.66783118936,2062,99,6231,248.5,15074.001624524
"3466",2012,"Scotland","Glasgow City","Glasgow",760,190,570,3599.26007861267,3599.26007861267,119,95,6437,271,22638.1230874756
"3467",2012,"Scotland","Glasgow City","Glasgow",703,195,508,6019.77874549172,6019.77874549172,3225,609,3174,192.5,3382.06764727158
"3468",2012,"Scotland","Glasgow City","Glasgow",806,125,681,1868.22492339006,1868.22492339006,1292,70,6152,223,40152.1702470796
"3469",2012,"Scotland","Glasgow City","Glasgow",1012,215,797,4103.22690300536,4103.22690300536,673,656,6420,271,18032.0957157225
"3470",2012,"Scotland","Glasgow City","Glasgow",1173,150,1023,3255.94211687463,3255.94211687463,612,4,6121,503.5,25814.5988901702
"3471",2012,"Scotland","Glasgow City","Glasgow",758,315,443,5525.06318206611,5525.06318206611,1251,324,5633,327.5,3660.32670963302
"3472",2012,"Scotland","Glasgow City","Glasgow",1065,295,770,1578.95860170859,1578.95860170859,1982,345,5758,87,25227.416390203
"3473",2012,"Scotland","Glasgow City","Glasgow",994,205,789,1449.47310768528,1449.47310768528,389,354,5951,21.5,43081.2741216446
"3474",2012,"Scotland","Glasgow City","Glasgow",742,55,687,1964.65741220781,1964.65741220781,1041,63,6198,223,37459.1624855735
"3475",2012,"Scotland","Glasgow City","Glasgow",840,180,660,1746.66128530588,1746.66128530588,1175,357,6464,21.5,38988.0165813624
"3476",2012,"Scotland","Glasgow City","Glasgow",1073,160,913,6653.79718485061,6653.79718485061,3336,857,2596,192.5,2699.82384270613
"3477",2012,"Scotland","Glasgow City","Glasgow",989,135,854,4366.4761768228,4366.4761768228,2947,79,6395,271,16319.5653965208
"3478",2012,"Scotland","Glasgow City","Glasgow",756,125,631,3484.95092847548,3484.95092847548,1184,89,6216,503.5,23658.9405291857
"3479",2012,"Scotland","Glasgow City","Glasgow",891,95,796,3629.93187225576,3629.93187225576,4323,64,6414,271,22307.4088611422
"3480",2012,"Scotland","Glasgow City","Glasgow",657,245,412,5551.75368243559,5551.75368243559,1674,674,5830,345,12185.3946267055
"3481",2012,"Scotland","Glasgow City","Glasgow",1107,195,912,3752.95401412532,3752.95401412532,1711,533,6449,271,21109.9684694015
"3482",2012,"Scotland","Glasgow City","Glasgow",675,270,405,1630.426248079,1630.426248079,473,225,6056,21.5,37464.3547436029
"3483",2012,"Scotland","Glasgow City","Glasgow",543,195,348,6161.57251744738,6161.57251744738,2971,65,3063,192.5,3030.18281496318
"3484",2012,"Scotland","Glasgow City","Glasgow",998,100,898,2932.13245027246,2932.13245027246,272,436,5996,503.5,27217.887986364
"3485",2012,"Scotland","Glasgow City","Glasgow",967,60,907,2121.93644793887,2121.93644793887,3866,148,5999,223,34992.6353593366
"3486",2012,"Scotland","Glasgow City","Glasgow",1043,390,653,4989.62539772488,4989.62539772488,922,158,3183,1951,4479.67276292038
"3487",2012,"Scotland","Glasgow City","Glasgow",1031,155,876,2273.35777838544,2273.35777838544,1349,126,6017,223,33941.3035192246
"3488",2012,"Scotland","Glasgow City","Glasgow",950,240,710,3018.87664177664,3018.87664177664,2213,383,3306,62.5,9789.26672527657
"3489",2012,"Scotland","Glasgow City","Glasgow",1166,425,741,4056.16601176532,4056.16601176532,1195,381,4024,62.5,5602.13451141522
"3490",2012,"Scotland","Glasgow City","Glasgow",757,230,527,1797.61528935243,1797.61528935243,1576,689,6407,21.5,36642.4984317003
"3491",2012,"Scotland","Glasgow City","Glasgow",300,25,275,1639.12892041977,1639.12892041977,266,73,6087,87,25297.1708192457
