"","Data.Zone","Local.Authority.Code","Local.Authority.Name","Nearest.settlement.","Total.Population..SAPE.2004.","Working.Age.Population..men.16.64..women.16.59.SAPE.2004.","SIMD.2006.Score","SIMD.2006.Rank","Current.Income.domain.2006.rate","Number.of.Current.Income.Deprived.People.2006","Current.Income.domain.2006.rank","Employment.domain.2006.rate","Number.of.Employment.Deprived.People.2006","Employment.domain.2006.rank","Health.domain.2006.score","Health.domain.2006.rank","Education..Skills.and.Training.domain.2006.score","Education..Skills.and.Training.domain.2006.rank","Housing.domain.score.2004.and.2006","Housing.domain.rank.2004.and.2006","Geographic.Access.domain.2006.score","Geographic.Access.domain.2006.rank","SIMD.Crime.2006.Score","SIMD.Crime.2006.rank","zone","X.x","accessA","accessB","type.x","X.y","type.y","area","zone_type","ttwa11cd","ttwa11nm","main_dist","main_bua","nearest_dist","nearest_bua","type","year2004","year2006","year2007","year2009","year2010","year2012","year2015","year2016","year","country","la","ttwa","pop","inc.n","noninc.n","dist_main","dist_nearest","crime","live.in","geo","pm25","work"
"11","S01000011",100,"Aberdeen City","Milltimber",901,557,4.31,6104,1.1,10,6431,1.6,9,6462,-0.98,5621,-1.71,6356,3.76,6142,37.32,1142,111,5690,"S01000011",11,158421,539.77356339689,"",69142,"dz01",1212021.58730901,"dz01","S22000047","Aberdeen",10105.9766342422,"Aberdeen",10105.9766342422,"Aberdeen","dz01",7.1453595,5.7183055,4.302674,6.1722155,7.2998085,7.8120865,5.921157,5.3281495,2006,"Scotland","Aberdeen City","Aberdeen",901,10,891,10105.9766342422,10105.9766342422,5690,6142,1142,5682,539.77356339689
"12","S01000012",100,"Aberdeen City","Aberdeen",896,578,6.79,5463,1.3,12,6394,4,23,5855,-0.64,4908,-0.5,4523,5.5,5802,35.74,1240,301,3858,"S01000012",12,150229,1697.20823545445,"",69143,"dz01",5462980.31614032,"dz01","S22000047","Aberdeen",5860.52201753398,"Aberdeen",5860.52201753398,"Aberdeen","dz01",8.7949035,6.91443225,5.0042535,7.25361525,8.54988225,8.43385075,6.4307465,5.70306875,2006,"Scotland","Aberdeen City","Aberdeen",896,12,884,5860.52201753398,5860.52201753398,3858,5802,1240,3528,1697.20823545445
"13","S01000013",100,"Aberdeen City","Peterculter",817,499,9.84,4725,5.8,47,4773,7.6,38,4337,-0.39,4241,-0.77,5185,14.14,3715,28.71,1785,208,4718,"S01000013",13,157393,402.991013598094,"",69144,"dz01",232438.775927665,"dz01","S22000047","Aberdeen",12116.7181891127,"Aberdeen",12116.7181891127,"Aberdeen","dz01",7.068956,5.620762,4.214576,5.826189,6.911732,7.177581,5.56526,5.08203,2006,"Scotland","Aberdeen City","Aberdeen",817,47,770,12116.7181891127,12116.7181891127,4718,3715,1785,5755,402.991013598094
"14","S01000014",100,"Aberdeen City","Aberdeen",917,622,8.92,4928,3.3,30,5663,6.3,39,4857,-0.18,3710,-0.15,3582,12.4,4224,24.55,2176,87,5933,"S01000014",14,150002,2567.01384827583,"",69145,"dz01",951645.88170517,"dz01","S22000047","Aberdeen",5216.11343615628,"Aberdeen",5216.11343615628,"Aberdeen","dz01",8.517591,6.6864,5.064367,6.770051,8.114148,7.766933,6.06753,5.593968,2006,"Scotland","Aberdeen City","Aberdeen",917,30,887,5216.11343615628,5216.11343615628,5933,4224,2176,3904,2567.01384827583
"15","S01000015",100,"Aberdeen City","Aberdeen",656,500,5.41,5842,0.8,5,6480,2.6,13,6303,-0.86,5398,-0.16,3610,15.57,3330,26.63,1976,NA,6392,"S01000015",15,150168,3758.00819406754,"",69146,"dz01",87222.1127074659,"dz01","S22000047","Aberdeen",4829.80680829024,"Aberdeen",4829.80680829024,"Aberdeen","dz01",8.895201,6.963448,5.456448,7.453763,8.883577,8.491634,6.387243,5.921302,2006,"Scotland","Aberdeen City","Aberdeen",656,5,651,4829.80680829024,4829.80680829024,6392,3330,1976,3434,3758.00819406754
"16","S01000016",100,"Aberdeen City","Milltimber",598,383,4.44,6071,0.8,5,6467.5,NA,NA,6499,-1.5,6295,-1.33,6072,8.39,5267,37.28,1147,268,4168,"S01000016",16,158020,598.687548265823,"",69147,"dz01",2103726.29759622,"dz01","S22000047","Aberdeen",8926.01581275891,"Aberdeen",8926.01581275891,"Aberdeen","dz01",7.217839,5.78220666666667,4.323037,6.101828,7.21848366666667,7.60590666666667,5.70046133333333,5.21417533333333,2006,"Scotland","Aberdeen City","Aberdeen",598,5,593,8926.01581275891,8926.01581275891,4168,5267,1147,5612,598.687548265823
"17","S01000017",100,"Aberdeen City","Aberdeen",918,627,9.85,4723,4.6,42,5180,5.1,32,5367,0.05,3117,-0.02,3243,10.89,4641,22.39,2411,261,4215,"S01000017",17,150168,3670.41359410867,"",69148,"dz01",208357.723185087,"dz01","S22000047","Aberdeen",4814.84526374984,"Aberdeen",4814.84526374984,"Aberdeen","dz01",8.517591,6.6864,5.064367,6.770051,8.114148,7.766933,6.06753,5.593968,2006,"Scotland","Aberdeen City","Aberdeen",918,42,876,4814.84526374984,4814.84526374984,4215,4641,2411,3904,3670.41359410867
"18","S01000018",100,"Aberdeen City","Aberdeen",544,394,9.5,4799,3.7,20,5515.5,6.3,25,4834,-0.29,3987,0,3187,14.04,3744,27.27,1921,NA,6229,"S01000018",18,150200,4378.53470141291,"",69149,"dz01",82879.0005000026,"dz01","S22000047","Aberdeen",4612.33992665297,"Aberdeen",4612.33992665297,"Aberdeen","dz01",8.895201,6.963448,5.456448,7.453763,8.883577,8.491634,6.387243,5.921302,2006,"Scotland","Aberdeen City","Aberdeen",544,20,524,4612.33992665297,4612.33992665297,6229,3744,1921,3434,4378.53470141291
"19","S01000019",100,"Aberdeen City","Milltimber",577,327,5.06,5951,1.4,8,6379,2.4,8,6340.5,-1.43,6249,-1.86,6412,1.87,6401,40.55,973,381,3189,"S01000019",19,158175,575.19943293832,"",69150,"dz01",327391.532311052,"dz01","S22000047","Aberdeen",9467.09318490803,"Aberdeen",9467.09318490803,"Aberdeen","dz01",7.189139,5.767532,4.357941,6.155177,7.291564,7.607263,5.678431,5.24046,2006,"Scotland","Aberdeen City","Aberdeen",577,8,569,9467.09318490803,9467.09318490803,3189,6401,973,5628,575.19943293832
"20","S01000020",100,"Aberdeen City","Aberdeen",953,521,17.71,3122,14.5,138,2523,15.2,79,2207,-0.31,4042,-1.09,5774,9.32,5052,27.29,1917,252,4298,"S01000020",20,157870,1574.57308385628,"",69151,"dz01",1689583.51615792,"dz01","S22000047","Aberdeen",6489.23937139381,"Aberdeen",6489.23937139381,"Aberdeen","dz01",7.4557245,5.908437,4.4702585,6.2905995,7.496615,7.637162,5.8869175,5.3850295,2006,"Scotland","Aberdeen City","Aberdeen",953,138,815,6489.23937139381,6489.23937139381,4298,5052,1917,5440,1574.57308385628
"21","S01000021",100,"Aberdeen City","Aberdeen",918,563,13.92,3837,6.5,60,4545,7.5,42,4394,0,3244,0.62,1694,13.92,3788,22.61,2387,251,4322,"S01000021",21,157343,5042.57119674669,"",69152,"dz01",154836.178549826,"dz01","S22000047","Aberdeen",4102.78533651046,"Aberdeen",4102.78533651046,"Aberdeen","dz01",9.118279,7.117149,4.882275,6.800036,8.128488,7.945144,6.111793,5.652972,2006,"Scotland","Aberdeen City","Aberdeen",918,60,858,4102.78533651046,4102.78533651046,4322,3788,2387,3127,5042.57119674669
